Rank;Model Name;Avg Rank;Mode;Mode %;Individual Ranks
1;judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3;1.07;1;93.3;1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
2;judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4.1-b8979536;2.20;2;80.0;2,2,2,2,3,2,2,3,3,2,2,2,2,2,2
3;judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5.2-chat-23af0bc5;2.73;3;80.0;3,3,3,3,2,3,3,2,1,3,3,3,3,3,3
4;judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-non-reasoning-f21c983a;4.60;4;80.0;4,4,4,4,8,4,4,8,4,4,4,4,5,4,4
5;judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-172984e1;5.60;5;46.7;5,5,6,6,7,5,5,6,7,5,5,7,4,6,5
6;judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5-nano-0bfd588f;6.00;7;53.3;7,7,5,5,4,7,7,5,5,7,7,5,7,5,7
7;judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-reasoning-7760eeed;6.27;6;73.3;6,6,7,7,6,6,6,7,6,6,6,6,6,7,6
8;judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-mini-b79d4cc2;8.13;8;86.7;8,8,8,8,9,8,8,9,8,8,8,8,8,8,8
9;judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243;8.40;9;86.7;9,9,9,9,5,9,9,4,9,9,9,9,9,9,9
10;judge-azureopenai-gpt-4.1__node-format_answer_node__model-gemini-gemini-3-pro-preview-6873e5c9;10.20;10;80.0;10,10,10,10,11,10,10,11,10,11,10,10,10,10,10
11;judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-codestral-2508-f88d7c10;10.80;11;80.0;11,11,11,11,10,11,11,10,11,10,11,11,11,11,11
