pair_number,experiment_a_name,experiment_b_name,winner,a_wins,b_wins,total_comparisons
1,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,27,2,30
2,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,2,26,30
3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-codestral-2508-f88d7c10,A,28,1,30
4,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-codestral-2508-f88d7c10,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,1,28,30
5,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-172984e1,A,25,3,30
6,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-172984e1,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,1,26,30
7,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-mini-b79d4cc2,A,25,3,30
8,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-mini-b79d4cc2,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,3,25,30
9,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4.1-b8979536,A,20,8,30
10,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4.1-b8979536,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,11,19,30
11,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5-nano-0bfd588f,A,24,4,30
12,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5-nano-0bfd588f,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,8,21,30
13,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5.2-chat-23af0bc5,A,20,8,30
14,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5.2-chat-23af0bc5,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,10,19,30
15,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-reasoning-7760eeed,A,27,1,30
16,judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-reasoning-7760eeed,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,0,28,30
17,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-non-reasoning-f21c983a,A,23,6,30
18,judge-azureopenai-gpt-4.1__node-format_answer_node__model-xai-grok-4-1-fast-non-reasoning-f21c983a,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,5,22,30
19,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,judge-azureopenai-gpt-4.1__node-format_answer_node__model-gemini-gemini-3-pro-preview-6873e5c9,A,27,1,30
20,judge-azureopenai-gpt-4.1__node-format_answer_node__model-gemini-gemini-3-pro-preview-6873e5c9,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-mistral-large-2512-29134ed3,B,3,27,30
21,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-codestral-2508-f88d7c10,A,24,3,30
22,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-codestral-2508-f88d7c10,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,B,5,22,30
23,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-172984e1,B,2,24,30
24,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-172984e1,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,24,3,30
25,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-mini-b79d4cc2,B,10,18,30
26,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4o-mini-b79d4cc2,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,18,10,30
27,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4.1-b8979536,B,1,28,30
28,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-4.1-b8979536,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,27,2,30
29,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5-nano-0bfd588f,B,7,20,30
30,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5-nano-0bfd588f,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,20,8,30
31,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5.2-chat-23af0bc5,B,7,23,30
32,judge-azureopenai-gpt-4.1__node-format_answer_node__model-azureopenai-gpt-5.2-chat-23af0bc5,judge-azureopenai-gpt-4.1__node-format_answer_node__model-mistral-devstral-2512-dac0a243,A,24,5,30
