Rank,Model Name,Avg Rank,Mode Rank,Removed Items,Outlier Rank,Remaining Ranks
1,mistral-mistral-large,1,1,1,2,[1 1 1 1 1 1 1 1 1 1 1 1 1 1]
2,azureopenai-gpt-4.1,2,2,3,3,[2 2 2 2 2 2 2 2 2 2 2 2]
3,azureopenai-gpt-5.2-chat,2.86,3,1,1,[3 3 3 3 2 3 3 2 3 3 3 3 3 3]
4,xai-grok-4-1-fast-non-reasoning,4.08,4,2,8,[4 4 4 4 4 4 4 4 4 4 5 4 4]
5,azureopenai-gpt-4o,5.25,5,3,7,[5 5 6 6 5 5 6 5 5 4 6 5]
6,xai-grok-4-1-fast-reasoning,6,6,4,7,[6 6 6 6 6 6 6 6 6 6 6]
7,azureopenai-gpt-5-nano,6.14,7,1,4,[7 7 5 5 7 7 5 5 7 7 5 7 5 7]
8,azureopenai-gpt-4o-mini,8,8,2,9,[8 8 8 8 8 8 8 8 8 8 8 8 8]
9,mistral-devstral-2512,8.71,9,1,4,[9 9 9 9 5 9 9 9 9 9 9 9 9 9]
10,gemini-gemini-3-pro-preview,10,10,3,11,[10 10 10 10 10 10 10 10 10 10 10 10]
11,mistral-codestral-2508,11,11,3,10,[11 11 11 11 11 11 11 11 11 11 11 11]
