"ČR, Reg. soudržnosti, Kraje",Ukazatel,Roky,value
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1990,675424.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1991,873410.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1992,980373.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1993,1201624.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1994,1376112.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1995,1607591.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1996,1840556.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1997,1982423.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1998,2168884.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",1999,2267275.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2000,2399700.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2001,2591574.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2002,2704466.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2003,2833197.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2004,3087777.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2005,3288493.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2006,3530252.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2007,3856629.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2008,4037564.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2009,3945505.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2010,4032952.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2011,4095355.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2012,4118386.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2013,4169011.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2014,4377991.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2015,4651813.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2016,4843030.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2017,5179344.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2018,5475773.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2019,5888869.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2020,5828318.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2021,6307755.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2022,7049872.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2023,7659655.0
Česko,"Hrubý domácí produkt (mil. Kč, běžné ceny)",2024,8057032.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1990,
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1991,-10.1
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1992,-2.5
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1993,0.4
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1994,2.5
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1995,0.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1996,4.2
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1997,-0.6
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1998,-0.4
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),1999,1.4
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2000,4.0
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2001,2.9
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2002,1.5
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2003,3.3
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2004,4.7
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2005,6.4
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2006,6.6
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2007,5.5
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2008,2.6
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2009,-4.8
Česko,Reálný růst/pokles hrubého domácího produktu v % (SOPR = 100),2010,2.7
