Ukazatel;Území;Pohlaví;Roky;value
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2013;9.41433
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2014;10.50679
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2015;10.98929
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2016;10.8
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2017;10.7
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2018;11.4
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2019;12.122
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2020;11.702
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2021;10.0
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2022;12.2
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2023;11.6
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2024;10.6
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2013;7.7468
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2014;8.89658
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2015;8.45942
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2016;8.5
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2017;7.6
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2018;7.8
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2019;8.115
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2020;7.218
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2021;7.1
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2022;8.1
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2023;7.9
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2024;8.4
