Ukazatel,Území,Typ financování zdravotní péče,Poskytovatel zdravotní péče,Roky,value
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2010,301598.984
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2011,306038.2784
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2012,310515.9865
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2013,310520.9778
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2014,330065.3232
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2015,339278.4772
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2016,354635.0311
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2017,375083.263
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2018,403659.5334
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2019,440931.6234
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2020,522797.6729
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2021,577424.9378
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2022,597168.6159
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2010,130303.993
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2011,132066.7091
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2012,135263.9609
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2013,134739.3049
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2014,144509.6659
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2015,148917.1651
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2016,156284.8502
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2017,165064.7155
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2018,179297.2806
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2019,195552.9886
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2020,238633.809
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2021,263786.6924
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Nemocnice,2022,277930.5488
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2010,19778.10983
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2011,20124.06623
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2012,20128.8084
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2013,21070.71985
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2014,22361.6671
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2015,23770.35852
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2016,25266.29111
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2017,28331.81725
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2018,32379.58673
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2019,35840.15633
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2020,41867.12015
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2021,44957.89545
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lůžková zařízení dlouhodobé péče,2022,46346.70922
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2010,64392.13293
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2011,65402.82372
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2012,65920.44966
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2013,67096.47533
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2014,71716.16852
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2015,74438.52408
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2016,78123.75867
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2017,83058.99748
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2018,87780.32473
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2019,96808.61412
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2020,104680.5049
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2021,120482.1984
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé ambulantní péče,2022,133992.5717
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2010,12136.94586
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2011,12489.84209
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2012,12682.61391
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2013,12721.01254
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2014,13345.33032
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2015,13833.31375
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2016,14556.68576
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2017,15498.09744
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2018,16950.42794
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2019,18543.34058
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2020,23730.72224
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2021,27212.69309
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Poskytovatelé doplňkových služeb,2022,25487.41521
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2010,56130.14475
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2011,57319.44893
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2012,58450.87193
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2013,56284.6129
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2014,57845.23234
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Lékárny a výdejny prostředků zdravotnické techniky,2015,58994.38179
