Území;Ukazatel;Převažující ekonomická aktivita (osoby ve věku 18+);Roky;value
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2019;2.8
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2020;2.645
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2021;2.36
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2022;2.2
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2023;2.9
Česko;Podíl osob pod hranicí deprivace;Pracující celkem;2024;2.7
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2019;32.2
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2020;39.133
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2021;40.35
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2022;35.6
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2023;40.6
Česko;Podíl osob pod hranicí deprivace;Nezaměstnaní;2024;40.4
Česko;Podíl osob pod hranicí deprivace;Důchodci;2019;5.9
Česko;Podíl osob pod hranicí deprivace;Důchodci;2020;4.456
Česko;Podíl osob pod hranicí deprivace;Důchodci;2021;3.67
Česko;Podíl osob pod hranicí deprivace;Důchodci;2022;4.7
Česko;Podíl osob pod hranicí deprivace;Důchodci;2023;5.7
Česko;Podíl osob pod hranicí deprivace;Důchodci;2024;5.2
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2019;8.8
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2020;7.406
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2021;6.99
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2022;7.3
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2023;9.8
Česko;Podíl osob pod hranicí deprivace;Ostatní neaktivní;2024;10.2
