Roky,"ČR, Reg. soudržnosti, Kraje",Ukazatel,value
2024,Česko,Narození,84602.0
2024,Česko,Živě narození,84311.0
2024,Česko,Živě narození - chlapci,43391.0
2024,Česko,Živě narození - dívky,40920.0
2024,Česko,Pořadí dítěte 1.,38518.0
2024,Česko,Pořadí dítěte 2.,33180.0
2024,Česko,Pořadí dítěte 3.,8757.0
2024,Česko,Pořadí dítěte 4. a vyšší,3856.0
2024,Česko,Živě narození mimo manželství,39599.0
2024,Česko,Podíl živě narozených mimo manželství (%),46.9677740746
2024,Česko,Mrtvě narození,291.0
2024,Česko,Průměrný věk matek při narození dítěte,30.5144094
2024,Česko,Průměrný věk matek při narození 1. dítěte,29.00188248
2024,Česko,Úhrnná plodnost,1.367935055
2024,Praha,Narození,12125.0
2024,Praha,Živě narození,12085.0
2024,Praha,Živě narození - chlapci,6226.0
2024,Praha,Živě narození - dívky,5859.0
2024,Praha,Pořadí dítěte 1.,6417.0
2024,Praha,Pořadí dítěte 2.,4429.0
2024,Praha,Pořadí dítěte 3.,979.0
2024,Praha,Pořadí dítěte 4. a vyšší,260.0
2024,Praha,Živě narození mimo manželství,4591.0
2024,Praha,Podíl živě narozených mimo manželství (%),37.9892428631
2024,Praha,Mrtvě narození,40.0
2024,Praha,Průměrný věk matek při narození dítěte,31.89031362
2024,Praha,Průměrný věk matek při narození 1. dítěte,30.71371064
2024,Praha,Úhrnná plodnost,1.259606955
2024,Střední Čechy,Narození,11022.0
2024,Střední Čechy,Živě narození,10981.0
2024,Střední Čechy,Živě narození - chlapci,5684.0
2024,Střední Čechy,Živě narození - dívky,5297.0
2024,Střední Čechy,Pořadí dítěte 1.,4885.0
2024,Střední Čechy,Pořadí dítěte 2.,4557.0
2024,Střední Čechy,Pořadí dítěte 3.,1130.0
2024,Střední Čechy,Pořadí dítěte 4. a vyšší,409.0
2024,Střední Čechy,Živě narození mimo manželství,5111.0
2024,Střední Čechy,Podíl živě narozených mimo manželství (%),46.5440305983
2024,Střední Čechy,Mrtvě narození,41.0
2024,Střední Čechy,Průměrný věk matek při narození dítěte,30.61743594
2024,Střední Čechy,Průměrný věk matek při narození 1. dítěte,28.99356916
2024,Střední Čechy,Úhrnná plodnost,1.355613297
2024,Jihozápad,Narození,9678.0
2024,Jihozápad,Živě narození,9651.0
2024,Jihozápad,Živě narození - chlapci,5055.0
2024,Jihozápad,Živě narození - dívky,4596.0
2024,Jihozápad,Pořadí dítěte 1.,4395.0
2024,Jihozápad,Pořadí dítěte 2.,3857.0
2024,Jihozápad,Pořadí dítěte 3.,989.0
2024,Jihozápad,Pořadí dítěte 4. a vyšší,410.0
2024,Jihozápad,Živě narození mimo manželství,4648.0
2024,Jihozápad,Podíl živě narozených mimo manželství (%),48.1608123511
2024,Jihozápad,Mrtvě narození,27.0
2024,Jihozápad,Průměrný věk matek při narození dítěte,30.26335357
2024,Jihozápad,Průměrný věk matek při narození 1. dítěte,28.66483832
2024,Jihozápad,Úhrnná plodnost,1.38069868
2024,Severozápad,Narození,7988.0
2024,Severozápad,Živě narození,7946.0
2024,Severozápad,Živě narození - chlapci,4142.0
2024,Severozápad,Živě narození - dívky,3804.0
2024,Severozápad,Pořadí dítěte 1.,3623.0
2024,Severozápad,Pořadí dítěte 2.,2772.0
