Ukazatel;Území;Typ indexu;Klasifikace produkce;Kumulace měsíců;value
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2019;102.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2019;102.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2019;103.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2019;103.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2019;103.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2020;104.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2020;104.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2020;103.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2020;103.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2020;103.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2020;103.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2020;103.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2020;103.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2020;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2020;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2020;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2020;103.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2021;104.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2021;104.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2021;105.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2021;105.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2021;106.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2021;106.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2021;107.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2021;108.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2021;108.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2021;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2021;110.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2021;110.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2022;124.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2022;126.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2022;128.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2022;130.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2022;131.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2022;133.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2022;134.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2022;135.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2022;136.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2022;136.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2022;137.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2022;137.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2023;148.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2023;148.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2023;147.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2023;146.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2023;146.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2023;145.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2023;145.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2023;145.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2023;144.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2023;144.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2023;144.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2023;144.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2024;145.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2024;146.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2024;146.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2024;146.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2024;146.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2024;145.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2024;145.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2024;145.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2024;145.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2024;145.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2024;145.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2024;145.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2025;146.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2025;146.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2025;146.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2025;145.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2015;100.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2015;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2015;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2015;100.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2015;100.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2016;94.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2016;94.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2016;93.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2016;93.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2016;93.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2016;93.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2017;96.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2017;97.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2017;98.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2017;98.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2017;98.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2017;98.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2017;97.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2017;97.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2017;97.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2017;97.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2017;97.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2018;102.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2018;103.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2018;103.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2018;103.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2018;103.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2018;104.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2018;104.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2018;104.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2018;104.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2018;104.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2018;104.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2018;104.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2019;110.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2019;111.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2019;111.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2019;111.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2019;112.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2019;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2019;112.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2019;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2019;112.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2019;111.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2019;111.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2019;111.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2020;108.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2020;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2020;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2020;109.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2020;109.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2020;109.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2020;108.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2020;108.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2020;108.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2020;108.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2020;108.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2020;108.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2021;108.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2021;108.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2021;108.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2021;109.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2021;109.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2021;109.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2021;109.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2021;109.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2021;110.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2021;111.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2021;112.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2021;113.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2022;134.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2022;135.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2022;136.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2022;137.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2022;139.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2022;140.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2022;140.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2022;141.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2022;142.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2022;142.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2022;143.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2022;144.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2023;207.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – únor 2023;208.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – březen 2023;209.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – duben 2023;210.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – květen 2023;211.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červen 2023;211.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – červenec 2023;211.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – srpen 2023;211.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – září 2023;211.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – říjen 2023;211.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – listopad 2023;211.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden – prosinec 2023;211.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);TĚŽBA A DOBÝVÁNÍ;leden 2024;204.4
