Rok sčítání,Ukazatel,Věk,Pohlaví,Území,Nejvyšší dosažené vzdělání,value
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Obyvatelstvo ve věku 15 a více let,8947632
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Bez vzdělání,42384
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Základní vč. neukončeného,1571602
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Střední vč. vyučení (bez maturity),2952112
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Úplné střední (s maturitou),2425064
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Nástavbové studium,247937
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Vyšší odborné vzdělání,117111
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Česká republika,Vysokoškolské,1114731
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Obyvatelstvo ve věku 15 a více let,1115174
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Bez vzdělání,2462
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Základní vč. neukončeného,113327
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Střední vč. vyučení (bez maturity),226686
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Úplné střední (s maturitou),333228
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Nástavbové studium,36110
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Vyšší odborné vzdělání,23942
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Hlavní město Praha,Vysokoškolské,263272
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Obyvatelstvo ve věku 15 a více let,1089911
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Bez vzdělání,4868
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Základní vč. neukončeného,184254
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Střední vč. vyučení (bez maturity),366322
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Úplné střední (s maturitou),307284
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Nástavbové studium,30599
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Vyšší odborné vzdělání,15844
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Středočeský kraj,Vysokoškolské,124875
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Obyvatelstvo ve věku 15 a více let,537217
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Bez vzdělání,2489
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Základní vč. neukončeného,97859
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Střední vč. vyučení (bez maturity),187621
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Úplné střední (s maturitou),147633
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Nástavbové studium,14988
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Vyšší odborné vzdělání,7069
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Jihočeský kraj,Vysokoškolské,58268
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Obyvatelstvo ve věku 15 a více let,490932
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Bez vzdělání,2032
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Základní vč. neukončeného,89091
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Střední vč. vyučení (bez maturity),170400
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Úplné střední (s maturitou),133564
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Nástavbové studium,12763
2011,Počet obyvatel (obvyklý pobyt),15 a více let,Celkem,Plzeňský kraj,Vyšší odborné vzdělání,5558
