Ukazatel,Rok sčítání,Území,Hospodařící domácnosti podle typu domácnosti,value
Počet hospodařících domácností,2011,Česká republika,Hospodařící domácnosti celkem,4375122
Počet hospodařících domácností,2011,Česká republika,HD tvořené 1 rodinou ,2667867
Počet hospodařících domácností,2011,Česká republika,Úplné rodiny bez závislých dětí,1236561
Počet hospodařících domácností,2011,Česká republika,Úplné rodiny se závislými dětmi,860470
Počet hospodařících domácností,2011,Česká republika,Neúplné rodiny bez závislých dětí,271859
Počet hospodařících domácností,2011,Česká republika,Neúplné rodiny se závislými dětmi,298977
Počet hospodařících domácností,2011,Česká republika,HD tvořené 2 a více rodinami,69694
Počet hospodařících domácností,2011,Česká republika,Domácnosti jednotlivců,1422147
Počet hospodařících domácností,2011,Česká republika,Vícečlenné nerodinné domácnosti,215414
Počet hospodařících domácností,2011,Hlavní město Praha,Hospodařící domácnosti celkem,579509
Počet hospodařících domácností,2011,Hlavní město Praha,HD tvořené 1 rodinou ,300262
Počet hospodařících domácností,2011,Hlavní město Praha,Úplné rodiny bez závislých dětí,138255
Počet hospodařících domácností,2011,Hlavní město Praha,Úplné rodiny se závislými dětmi,85440
Počet hospodařících domácností,2011,Hlavní město Praha,Neúplné rodiny bez závislých dětí,36987
Počet hospodařících domácností,2011,Hlavní město Praha,Neúplné rodiny se závislými dětmi,39580
Počet hospodařících domácností,2011,Hlavní město Praha,HD tvořené 2 a více rodinami,5034
Počet hospodařících domácností,2011,Hlavní město Praha,Domácnosti jednotlivců,225802
Počet hospodařících domácností,2011,Hlavní město Praha,Vícečlenné nerodinné domácnosti,48411
Počet hospodařících domácností,2011,Středočeský kraj,Hospodařící domácnosti celkem,523045
Počet hospodařících domácností,2011,Středočeský kraj,HD tvořené 1 rodinou ,329829
Počet hospodařících domácností,2011,Středočeský kraj,Úplné rodiny bez závislých dětí,150431
Počet hospodařících domácností,2011,Středočeský kraj,Úplné rodiny se závislými dětmi,112184
Počet hospodařících domácností,2011,Středočeský kraj,Neúplné rodiny bez závislých dětí,32229
Počet hospodařících domácností,2011,Středočeský kraj,Neúplné rodiny se závislými dětmi,34985
Počet hospodařících domácností,2011,Středočeský kraj,HD tvořené 2 a více rodinami,10207
Počet hospodařících domácností,2011,Středočeský kraj,Domácnosti jednotlivců,158918
Počet hospodařících domácností,2011,Středočeský kraj,Vícečlenné nerodinné domácnosti,24091
Počet hospodařících domácností,2011,Jihočeský kraj,Hospodařící domácnosti celkem,262692
Počet hospodařících domácností,2011,Jihočeský kraj,HD tvořené 1 rodinou ,163840
Počet hospodařících domácností,2011,Jihočeský kraj,Úplné rodiny bez závislých dětí,76508
Počet hospodařících domácností,2011,Jihočeský kraj,Úplné rodiny se závislými dětmi,53696
Počet hospodařících domácností,2011,Jihočeský kraj,Neúplné rodiny bez závislých dětí,15649
Počet hospodařících domácností,2011,Jihočeský kraj,Neúplné rodiny se závislými dětmi,17987
Počet hospodařících domácností,2011,Jihočeský kraj,HD tvořené 2 a více rodinami,4332
Počet hospodařících domácností,2011,Jihočeský kraj,Domácnosti jednotlivců,84195
Počet hospodařících domácností,2011,Jihočeský kraj,Vícečlenné nerodinné domácnosti,10325
Počet hospodařících domácností,2011,Plzeňský kraj,Hospodařící domácnosti celkem,242397
