Území;Institucionální sektor ;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2022;1291474.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2021;1253280.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2020;1221259.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2019;1209337.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2018;1190641.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2017;1162804.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2016;1160654.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2015;1147211.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2014;1141297.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Celkem;2013;1093535.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2022;479.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2021;481.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2020;440.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2019;417.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2018;421.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2017;403.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2016;397.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2015;385.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Počet aktivních podniků;Těžba a dobývání;2014;391.0
