Ukazatel,Rok sčítání,Území,Pohlaví,Rodinný stav,value
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Celkem,5337619
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Svobodní/svobodné,2031554
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Ženatí/vdané,1997604
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Rozvedení/rozvedené,688825
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Ovdovělí/ovdovělé,595672
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Registrované partnerství trvající,2051
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Ženy,Nezjištěno,21203
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Celkem,5186548
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Svobodní/svobodné,2477037
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Ženatí/vdané,2009738
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Rozvedení/rozvedené,544287
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Ovdovělí/ovdovělé,124903
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Registrované partnerství trvající,3217
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Muži,Nezjištěno,26612
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Celkem,667983
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Svobodní/svobodné,291426
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Ženatí/vdané,221133
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Rozvedení/rozvedené,89580
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Ovdovělí/ovdovělé,58384
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Registrované partnerství trvající,427
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Ženy,Nezjištěno,6878
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Celkem,633449
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Svobodní/svobodné,328889
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Ženatí/vdané,222741
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Rozvedení/rozvedené,60583
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Ovdovělí/ovdovělé,12094
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Registrované partnerství trvající,1092
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Muži,Nezjištěno,7810
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Celkem,712922
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Svobodní/svobodné,273328
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Ženatí/vdané,274544
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Rozvedení/rozvedené,88161
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Ovdovělí/ovdovělé,74233
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Registrované partnerství trvající,316
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Ženy,Nezjištěno,2234
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Celkem,702541
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Svobodní/svobodné,332347
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Ženatí/vdané,277330
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Rozvedení/rozvedené,73280
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Ovdovělí/ovdovělé,15768
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Registrované partnerství trvající,503
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Muži,Nezjištěno,3208
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Celkem,319635
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Svobodní/svobodné,116743
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Ženatí/vdané,124322
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Rozvedení/rozvedené,40437
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Ovdovělí/ovdovělé,37229
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Registrované partnerství trvající,98
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Ženy,Nezjištěno,776
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Celkem,312168
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Svobodní/svobodné,144353
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Ženatí/vdané,125325
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Rozvedení/rozvedené,33195
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Ovdovělí/ovdovělé,8128
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Registrované partnerství trvající,111
Počet obyvatel (obvyklý pobyt),2021,Jihočeský kraj,Muži,Nezjištěno,1030
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Celkem,292557
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Svobodní/svobodné,107752
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Ženatí/vdané,112313
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Rozvedení/rozvedené,37776
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Ovdovělí/ovdovělé,33252
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Registrované partnerství trvající,92
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Ženy,Nezjištěno,1343
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Celkem,288879
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Svobodní/svobodné,135257
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Ženatí/vdané,113495
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Rozvedení/rozvedené,31041
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Ovdovělí/ovdovělé,7193
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Registrované partnerství trvající,169
Počet obyvatel (obvyklý pobyt),2021,Plzeňský kraj,Muži,Nezjištěno,1704
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Celkem,140993
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Svobodní/svobodné,53697
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Ženatí/vdané,48369
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Rozvedení/rozvedené,22294
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Ovdovělí/ovdovělé,16163
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Registrované partnerství trvající,54
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Ženy,Nezjištěno,398
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Celkem,138110
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Svobodní/svobodné,67108
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Ženatí/vdané,48478
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Rozvedení/rozvedené,18145
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Ovdovělí/ovdovělé,3689
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Registrované partnerství trvající,72
Počet obyvatel (obvyklý pobyt),2021,Karlovarský kraj,Muži,Nezjištěno,593
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Celkem,400133
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Svobodní/svobodné,156910
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Ženatí/vdané,136488
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Rozvedení/rozvedené,59781
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Ovdovělí/ovdovělé,45774
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Registrované partnerství trvající,187
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Ženy,Nezjištěno,920
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Celkem,388965
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Svobodní/svobodné,191767
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Ženatí/vdané,137269
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Rozvedení/rozvedené,47972
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Ovdovělí/ovdovělé,10419
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Registrované partnerství trvající,201
Počet obyvatel (obvyklý pobyt),2021,Ústecký kraj,Muži,Nezjištěno,1269
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Celkem,219800
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Svobodní/svobodné,83573
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Ženatí/vdané,79904
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Rozvedení/rozvedené,31644
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Ovdovělí/ovdovělé,23889
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Registrované partnerství trvající,94
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Ženy,Nezjištěno,648
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Celkem,215420
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Svobodní/svobodné,103453
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Ženatí/vdané,80436
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Rozvedení/rozvedené,25353
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Ovdovělí/ovdovělé,5153
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Registrované partnerství trvající,94
Počet obyvatel (obvyklý pobyt),2021,Liberecký kraj,Muži,Nezjištěno,901
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Celkem,272286
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Svobodní/svobodné,98441
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Ženatí/vdané,105000
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Rozvedení/rozvedené,36034
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Ovdovělí/ovdovělé,31904
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Registrované partnerství trvající,59
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Ženy,Nezjištěno,823
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Celkem,266017
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Svobodní/svobodné,122620
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Ženatí/vdané,105863
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Rozvedení/rozvedené,29475
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Ovdovělí/ovdovělé,6877
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Registrované partnerství trvající,99
Počet obyvatel (obvyklý pobyt),2021,Královéhradecký kraj,Muži,Nezjištěno,1070
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Celkem,257091
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Svobodní/svobodné,94033
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Ženatí/vdané,101224
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Rozvedení/rozvedené,31092
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Ovdovělí/ovdovělé,29885
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Registrované partnerství trvající,67
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Ženy,Nezjištěno,766
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Celkem,252946
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Svobodní/svobodné,117682
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Ženatí/vdané,102141
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Rozvedení/rozvedené,25519
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Ovdovělí/ovdovělé,6443
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Registrované partnerství trvající,87
Počet obyvatel (obvyklý pobyt),2021,Pardubický kraj,Muži,Nezjištěno,1045
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Celkem,250293
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Svobodní/svobodné,88324
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Ženatí/vdané,104784
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Rozvedení/rozvedené,26405
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Ovdovělí/ovdovělé,30184
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Registrované partnerství trvající,45
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Ženy,Nezjištěno,540
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Celkem,247368
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Svobodní/svobodné,112778
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Ženatí/vdané,105555
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Rozvedení/rozvedené,22109
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Ovdovělí/ovdovělé,6218
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Registrované partnerství trvající,61
Počet obyvatel (obvyklý pobyt),2021,Kraj Vysočina,Muži,Nezjištěno,636
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Celkem,608098
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Svobodní/svobodné,232191
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Ženatí/vdané,232804
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Rozvedení/rozvedené,72530
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Ovdovělí/ovdovělé,67220
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Registrované partnerství trvající,239
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Ženy,Nezjištěno,3051
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Celkem,589553
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Svobodní/svobodné,282105
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Ženatí/vdané,233633
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Rozvedení/rozvedené,56156
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Ovdovělí/ovdovělé,13527
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Registrované partnerství trvající,335
Počet obyvatel (obvyklý pobyt),2021,Jihomoravský kraj,Muži,Nezjištěno,3727
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Celkem,315893
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Svobodní/svobodné,116898
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Ženatí/vdané,120032
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Rozvedení/rozvedené,40287
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Ovdovělí/ovdovělé,37744
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Registrované partnerství trvající,96
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Ženy,Nezjištěno,813
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Celkem,303895
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Svobodní/svobodné,142720
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Ženatí/vdané,120208
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Rozvedení/rozvedené,32087
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Ovdovělí/ovdovělé,7759
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Registrované partnerství trvající,137
Počet obyvatel (obvyklý pobyt),2021,Olomoucký kraj,Muži,Nezjištěno,950
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Celkem,287185
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Svobodní/svobodné,100875
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Ženatí/vdané,115594
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Rozvedení/rozvedené,33595
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Ovdovělí/ovdovělé,36363
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Registrované partnerství trvající,43
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Ženy,Nezjištěno,687
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Celkem,277146
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Svobodní/svobodné,126962
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Ženatí/vdané,115986
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Rozvedení/rozvedené,26415
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Ovdovělí/ovdovělé,6883
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Registrované partnerství trvající,67
Počet obyvatel (obvyklý pobyt),2021,Zlínský kraj,Muži,Nezjištěno,816
Počet obyvatel (obvyklý pobyt),2021,Moravskoslezský kraj,Ženy,Celkem,592750
