Území,Roky,Pohlaví,Věkové skupiny,Ukazatel,value
Česko,2024,Celkem,Celkem,Pracovní síla ekonomicky aktivní (tis. osob),5331.1954511
Česko,2024,Celkem,Celkem,Míra ekonomické aktivity (%),60.608506121
Česko,2024,Celkem,15 až 19,Pracovní síla ekonomicky aktivní (tis. osob),40.501526149
Česko,2024,Celkem,15 až 19,Míra ekonomické aktivity (%),6.9049571904
Česko,2024,Celkem,20 až 24,Pracovní síla ekonomicky aktivní (tis. osob),255.11850566
Česko,2024,Celkem,20 až 24,Míra ekonomické aktivity (%),50.058594437
Česko,2024,Celkem,25 až 29,Pracovní síla ekonomicky aktivní (tis. osob),435.00457413
Česko,2024,Celkem,25 až 29,Míra ekonomické aktivity (%),80.874548442
Česko,2024,Celkem,30 až 34,Pracovní síla ekonomicky aktivní (tis. osob),539.35303608
Česko,2024,Celkem,30 až 34,Míra ekonomické aktivity (%),82.118289922
Česko,2024,Celkem,35 až 39,Pracovní síla ekonomicky aktivní (tis. osob),611.57359788
Česko,2024,Celkem,35 až 39,Míra ekonomické aktivity (%),88.328187883
Česko,2024,Celkem,40 až 44,Pracovní síla ekonomicky aktivní (tis. osob),723.17364679
Česko,2024,Celkem,40 až 44,Míra ekonomické aktivity (%),93.400351944
Česko,2024,Celkem,45 až 49,Pracovní síla ekonomicky aktivní (tis. osob),861.96673953
Česko,2024,Celkem,45 až 49,Míra ekonomické aktivity (%),95.734030132
Česko,2024,Celkem,50 až 54,Pracovní síla ekonomicky aktivní (tis. osob),712.07993686
Česko,2024,Celkem,50 až 54,Míra ekonomické aktivity (%),94.874345329
Česko,2024,Celkem,55 až 59,Pracovní síla ekonomicky aktivní (tis. osob),591.01703223
Česko,2024,Celkem,55 až 59,Míra ekonomické aktivity (%),91.905441826
Česko,2024,Celkem,60 až 64,Pracovní síla ekonomicky aktivní (tis. osob),378.08150451
Česko,2024,Celkem,60 až 64,Míra ekonomické aktivity (%),63.989623499
Česko,2024,Celkem,65 a více let,Pracovní síla ekonomicky aktivní (tis. osob),183.32535125
Česko,2024,Celkem,65 a více let,Míra ekonomické aktivity (%),8.5119618482
