Území;Roky;Ukazatel;Pohlaví;Věk;value
Česko;2024;Osoby používající chytrý telefon (%);ženy;Celkem (16+);84.876719544
Česko;2024;Osoby používající chytrý telefon (%);ženy;16 - 34;99.616044892
Česko;2024;Osoby používající chytrý telefon (%);ženy;35 - 54;98.129219413
Česko;2024;Osoby používající chytrý telefon (%);ženy;55 - 74;78.075996297
Česko;2024;Osoby používající chytrý telefon (%);ženy;75+;27.079632065
Česko;2024;Osoby používající chytrý telefon (%);muži;Celkem (16+);83.57404163
Česko;2024;Osoby používající chytrý telefon (%);muži;16 - 34;99.315463784
Česko;2024;Osoby používající chytrý telefon (%);muži;35 - 54;96.710540102
Česko;2024;Osoby používající chytrý telefon (%);muži;55 - 74;73.383492106
Česko;2024;Osoby používající chytrý telefon (%);muži;75+;29.502174884
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);ženy;Celkem (16+);46.693947576
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);ženy;16 - 34;62.961335218
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);ženy;35 - 54;58.543829723
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);ženy;55 - 74;32.574232709
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);ženy;75+;8.007417191
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);muži;Celkem (16+);50.442763816
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);muži;16 - 34;67.64447571
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);muži;35 - 54;61.747961039
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);muži;55 - 74;36.705036641
Česko;2024;Osoby sledující na chytré televizi videa či pořady z internetu (%);muži;75+;9.1946121532
Česko;2024;Osoby používající herní konzoli (%);ženy;Celkem (16+);5.3939158343
Česko;2024;Osoby používající herní konzoli (%);ženy;16 - 34;11.44646906
Česko;2024;Osoby používající herní konzoli (%);ženy;35 - 54;6.6447926782
Česko;2024;Osoby používající herní konzoli (%);ženy;55 - 74;0.5712909629
Česko;2024;Osoby používající herní konzoli (%);ženy;75+;
Česko;2024;Osoby používající herní konzoli (%);muži;Celkem (16+);16.201553426
Česko;2024;Osoby používající herní konzoli (%);muži;16 - 34;37.438687643
Česko;2024;Osoby používající herní konzoli (%);muži;35 - 54;17.145255795
Česko;2024;Osoby používající herní konzoli (%);muži;55 - 74;2.5371244602
Česko;2024;Osoby používající herní konzoli (%);muži;75+;0.9576114766
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);ženy;Celkem (16+);4.7331858943
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);ženy;16 - 34;6.7125322447
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);ženy;35 - 54;6.4957524126
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);ženy;55 - 74;2.4456133343
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);ženy;75+;0.4044713048
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);muži;Celkem (16+);8.2942550359
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);muži;16 - 34;8.754029661
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);muži;35 - 54;11.967750702
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);muži;55 - 74;6.1760287747
Česko;2024;Osoby používající chytrá zařízení na ovládání spotřeby energií (%);muži;75+;0.4680888549
Česko;2024;Osoby používající chytré domácí spotřebiče (%);ženy;Celkem (16+);13.32794117
Česko;2024;Osoby používající chytré domácí spotřebiče (%);ženy;16 - 34;15.641079417
Česko;2024;Osoby používající chytré domácí spotřebiče (%);ženy;35 - 54;19.579781469
Česko;2024;Osoby používající chytré domácí spotřebiče (%);ženy;55 - 74;8.2705934135
Česko;2024;Osoby používající chytré domácí spotřebiče (%);ženy;75+;0.7770625828
Česko;2024;Osoby používající chytré domácí spotřebiče (%);muži;Celkem (16+);12.04058476
Česko;2024;Osoby používající chytré domácí spotřebiče (%);muži;16 - 34;13.913112262
Česko;2024;Osoby používající chytré domácí spotřebiče (%);muži;35 - 54;17.606713829
Česko;2024;Osoby používající chytré domácí spotřebiče (%);muži;55 - 74;7.4665214873
Česko;2024;Osoby používající chytré domácí spotřebiče (%);muži;75+;1.2261419198
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);ženy;Celkem (16+);4.8203436179
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);ženy;16 - 34;4.2766812897
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);ženy;35 - 54;7.6940441281
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);ženy;55 - 74;3.3617144722
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);ženy;75+;0.4440740177
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);muži;Celkem (16+);8.1034567243
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);muži;16 - 34;7.0269334341
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);muži;35 - 54;11.982083265
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);muži;55 - 74;6.3640926556
Česko;2024;Osoby používající chytrá zařízení k zabezpečení domácnosti (%);muži;75+;2.1482049303
Česko;2024;Osoby používající aplikaci k ovládání či monitorování auta (%);ženy;Celkem (16+);2.2931767466
Česko;2024;Osoby používající aplikaci k ovládání či monitorování auta (%);ženy;16 - 34;2.1876516065
Česko;2024;Osoby používající aplikaci k ovládání či monitorování auta (%);ženy;35 - 54;3.2564556126
Česko;2024;Osoby používající aplikaci k ovládání či monitorování auta (%);ženy;55 - 74;2.0719517958
