Rok sčítání;Ukazatel;Věk;Území;Nejvyšší dosažené vzdělání;value
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Celkem;8832407
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Bez vzdělání;56100
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Základní vč. neukončeného;1107860
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Střední vč. vyučení (bez maturity);2736983
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;2729091
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Vyšší odborné, konzervatoř;138588
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Vysokoškolské;1552407
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Česká republika;Nezjištěno;511378
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Celkem;1102063
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Bez vzdělání;3916
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Základní vč. neukončeného;85743
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Střední vč. vyučení (bez maturity);187884
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;361420
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Vyšší odborné, konzervatoř;24906
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Vysokoškolské;371351
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Hlavní město Praha;Nezjištěno;66843
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Celkem;1162092
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Bez vzdělání;6682
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Základní vč. neukončeného;141349
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Střední vč. vyučení (bez maturity);354022
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;378109
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Vyšší odborné, konzervatoř;20836
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Vysokoškolské;196805
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Středočeský kraj;Nezjištěno;64289
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Celkem;530545
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Bez vzdělání;3052
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Základní vč. neukončeného;67839
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Střední vč. vyučení (bez maturity);177523
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;164649
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Vyšší odborné, konzervatoř;8322
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Vysokoškolské;79899
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihočeský kraj;Nezjištěno;29261
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Celkem;490442
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Bez vzdělání;3037
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Základní vč. neukončeného;64163
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Střední vč. vyučení (bez maturity);162010
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;151830
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Vyšší odborné, konzervatoř;7896
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Vysokoškolské;70888
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Plzeňský kraj;Nezjištěno;30618
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Celkem;236517
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Bez vzdělání;2779
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Základní vč. neukončeného;39915
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Střední vč. vyučení (bez maturity);81345
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;66737
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Vyšší odborné, konzervatoř;3062
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Vysokoškolské;22803
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Karlovarský kraj;Nezjištěno;19876
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Celkem;662139
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Bez vzdělání;7794
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Základní vč. neukončeného;110309
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Střední vč. vyučení (bez maturity);223213
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;189331
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Vyšší odborné, konzervatoř;8024
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Vysokoškolské;68782
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Ústecký kraj;Nezjištěno;54686
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Celkem;363889
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Bez vzdělání;2817
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Základní vč. neukončeného;49895
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Střední vč. vyučení (bez maturity);124205
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;108828
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Vyšší odborné, konzervatoř;4975
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Vysokoškolské;48054
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Liberecký kraj;Nezjištěno;25115
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Celkem;453626
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Bez vzdělání;2711
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Základní vč. neukončeného;57514
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Střední vč. vyučení (bez maturity);154031
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;143910
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Vyšší odborné, konzervatoř;7113
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Vysokoškolské;63077
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Královéhradecký kraj;Nezjištěno;25270
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Celkem;427281
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Bez vzdělání;2656
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Základní vč. neukončeného;53808
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Střední vč. vyučení (bez maturity);149516
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;132997
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Vyšší odborné, konzervatoř;7375
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Vysokoškolské;58987
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Pardubický kraj;Nezjištěno;21942
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Celkem;418463
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Bez vzdělání;2045
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Základní vč. neukončeného;51793
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Střední vč. vyučení (bez maturity);153400
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;130037
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Vyšší odborné, konzervatoř;6922
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Vysokoškolské;56276
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Kraj Vysočina;Nezjištěno;17990
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Celkem;1003977
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Bez vzdělání;4947
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Základní vč. neukončeného;121166
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Střední vč. vyučení (bez maturity);301905
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;304647
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Vyšší odborné, konzervatoř;15190
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Vysokoškolské;207890
2021;Počet obyvatel (obvyklý pobyt);15 a více let;Jihomoravský kraj;Nezjištěno;48232
