Ukazatel,Rok sčítání,Pohlaví,Území,Ekonomická aktivita,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Pracovní síla,5563258
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Zaměstnaní,5290071
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Pracující důchodci,565811
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby na mateřské dovolené,40097
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Nezaměstnaní,273187
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Mimo pracovní sílu,4830885
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Nepracující důchodci,2281067
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Osoby na rodičovské dovolené,218485
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,"Žáci, studenti",1465320
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Nezjištěno,130024
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Pracovní síla,766484
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Zaměstnaní,733840
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Pracující důchodci,76668
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby na mateřské dovolené,5822
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Nezaměstnaní,32644
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Mimo pracovní sílu,512729
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Nepracující důchodci,209297
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Osoby na rodičovské dovolené,23920
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,"Žáci, studenti",167620
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Nezjištěno,22219
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Pracovní síla,758515
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Zaměstnaní,726887
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Pracující důchodci,74609
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby na mateřské dovolené,5815
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Nezaměstnaní,31628
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Mimo pracovní sílu,642233
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Nepracující důchodci,274052
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Osoby na rodičovské dovolené,30872
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,"Žáci, studenti",211476
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Nezjištěno,14715
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Pracovní síla,327520
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Zaměstnaní,314154
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Pracující důchodci,35759
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby na mateřské dovolené,2404
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Nezaměstnaní,13366
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Mimo pracovní sílu,297036
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Nepracující důchodci,144722
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Osoby na rodičovské dovolené,13406
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,"Žáci, studenti",88670
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Nezjištěno,7247
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Pracovní síla,308362
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Zaměstnaní,295810
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Pracující důchodci,32686
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby na mateřské dovolené,2192
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Nezaměstnaní,12552
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Mimo pracovní sílu,265235
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Nepracující důchodci,129457
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Osoby na rodičovské dovolené,12027
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,"Žáci, studenti",77980
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Nezjištěno,7839
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Pracovní síla,142659
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Zaměstnaní,130956
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Pracující důchodci,14052
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby na mateřské dovolené,789
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Nezaměstnaní,11703
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Mimo pracovní sílu,129541
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Nepracující důchodci,63847
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Osoby na rodičovské dovolené,5212
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,"Žáci, studenti",37784
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Nezjištěno,6903
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Pracovní síla,400698
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Zaměstnaní,369950
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Pracující důchodci,43622
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Osoby na mateřské dovolené,2386
