Kraje a obce,Kategorie ubytovacího zařízení,Ukazatel,Rezidence,Roky,value
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2024,8063367.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2023,7442614.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2022,5984803.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2021,2354720.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2020,2182443.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2019,8044324.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2018,7892184.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2017,7652761.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2016,7127558.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2015,6605776.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2014,6096015.0
Hlavní město Praha,HUZ celkem,Počet hostů,Celkem,2013,5899630.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2024,1561069.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2023,1577633.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2022,1493192.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2021,943464.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2020,728913.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2019,1240583.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2018,1221478.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2017,1090243.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2016,1016796.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2015,890941.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2014,780961.0
Hlavní město Praha,HUZ celkem,Počet hostů,Rezidenti,2013,851674.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2024,6502298.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2023,5864981.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2022,4491611.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2021,1411256.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2020,1453530.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2019,6803741.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2018,6670706.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2017,6562518.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2016,6110762.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2015,5714835.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2014,5315054.0
Hlavní město Praha,HUZ celkem,Počet hostů,Nerezidenti,2013,5047956.0
