Ukazatel,Území,Typ indexu,Klasifikace produkce,Čtvrtletí,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2017,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2017,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2017,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2018,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2018,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2018,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2019,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2019,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2019,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2019,105.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2020,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2020,105.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2020,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2020,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2021,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2021,104.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2021,105.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2021,107.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2022,113.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2022,127.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2022,135.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2022,140.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2023,144.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2023,142.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2023,139.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2023,136.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2024,136.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2024,136.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",3. čtvrtletí 2024,136.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",4. čtvrtletí 2024,137.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",1. čtvrtletí 2025,139.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2. čtvrtletí 2025,140.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2015,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2016,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2016,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2016,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2016,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2017,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2017,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2017,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2017,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2018,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2018,101.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2018,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2018,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2019,105.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2019,104.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2019,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2019,104.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2020,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2020,105.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2020,104.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2020,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2021,105.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2021,105.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2021,106.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2021,107.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2022,111.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2022,113.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2022,114.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2022,119.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2023,125.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2023,128.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2023,128.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2023,130.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2024,133.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2024,133.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",3. čtvrtletí 2024,133.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",4. čtvrtletí 2024,133.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",1. čtvrtletí 2025,133.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2. čtvrtletí 2025,133.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2015,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2016,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2016,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2016,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2016,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2017,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2017,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2018,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2018,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2018,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2019,101.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2019,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2019,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2019,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2020,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2020,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2020,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2020,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2021,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2021,106.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2021,109.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2021,112.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2022,118.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2022,126.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2022,131.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2022,133.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2023,133.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2023,129.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2023,128.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2023,128.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2024,126.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2024,127.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",3. čtvrtletí 2024,127.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",4. čtvrtletí 2024,128.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",1. čtvrtletí 2025,130.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2. čtvrtletí 2025,130.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2015,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2016,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2016,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2016,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2016,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2017,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2017,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2017,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2017,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2018,103.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2018,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2018,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2018,104.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2019,106.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2019,111.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2019,112.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2019,113.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2020,114.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2020,114.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2020,114.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2020,115.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2021,116.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2021,116.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2021,117.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2021,118.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2022,123.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2022,123.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2022,124.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2022,126.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2023,131.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2023,133.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2023,136.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2023,137.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2024,139.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2024,140.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",3. čtvrtletí 2024,140.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",4. čtvrtletí 2024,142.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",1. čtvrtletí 2025,146.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2. čtvrtletí 2025,147.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2016,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2016,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2016,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2016,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2017,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2017,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2017,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2017,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2018,102.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2018,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2018,103.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2018,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2019,105.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2019,105.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2019,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2019,105.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2020,107.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2020,109.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2020,109.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2020,110.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2021,110.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2021,109.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2021,109.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2021,110.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2022,115.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2022,117.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",3. čtvrtletí 2022,117.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",4. čtvrtletí 2022,117.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",1. čtvrtletí 2023,118.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2. čtvrtletí 2023,120.3
