Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Nejvyšší ukončené vzdělání,value
Míra zaměstnanosti (%),Celkem,2024,Česko,Celkem,59.030785134
Míra zaměstnanosti (%),Celkem,2024,Česko,Základní ,19.494727872
Míra zaměstnanosti (%),Celkem,2024,Česko,Střední bez maturity,58.618970907
Míra zaměstnanosti (%),Celkem,2024,Česko,Střední s maturitou,64.183646974
Míra zaměstnanosti (%),Celkem,2024,Česko,Vyšší a vysokoškolské,77.316962283
Míra zaměstnanosti (%),Celkem,2024,Praha,Celkem,66.366121286
Míra zaměstnanosti (%),Celkem,2024,Praha,Základní ,16.081295126
Míra zaměstnanosti (%),Celkem,2024,Praha,Střední bez maturity,55.615489562
Míra zaměstnanosti (%),Celkem,2024,Praha,Střední s maturitou,65.718264322
Míra zaměstnanosti (%),Celkem,2024,Praha,Vyšší a vysokoškolské,80.400332006
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,Celkem,60.934850514
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,Základní ,20.177787991
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,Střední bez maturity,62.203134902
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,Střední s maturitou,66.700109826
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,Vyšší a vysokoškolské,79.054276077
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,Celkem,59.45446119
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,Základní ,22.041602863
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,Střední bez maturity,60.577688366
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,Střední s maturitou,64.776438916
Míra zaměstnanosti (%),Celkem,2024,Jihozápad,Vyšší a vysokoškolské,77.076357689
Míra zaměstnanosti (%),Celkem,2024,Severozápad,Celkem,57.130405016
Míra zaměstnanosti (%),Celkem,2024,Severozápad,Základní ,25.615401802
Míra zaměstnanosti (%),Celkem,2024,Severozápad,Střední bez maturity,59.99691008
Míra zaměstnanosti (%),Celkem,2024,Severozápad,Střední s maturitou,64.761494006
Míra zaměstnanosti (%),Celkem,2024,Severozápad,Vyšší a vysokoškolské,76.141540711
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,Celkem,56.900182504
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,Základní ,18.333512011
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,Střední bez maturity,57.982078498
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,Střední s maturitou,62.392594498
Míra zaměstnanosti (%),Celkem,2024,Severovýchod,Vyšší a vysokoškolské,74.998789832
