"ČR, kraje, okresy",Ukazatel,Institucionální sektor,Roky,value
Česko,Počet ekonomických subjektů celkem,Celkem,2024,2836017
Česko,Počet ekonomických subjektů celkem,Celkem,2023,2800294
Česko,Počet ekonomických subjektů celkem,Celkem,2022,2996841
Česko,Počet ekonomických subjektů celkem,Celkem,2021,2976264
Česko,Počet ekonomických subjektů celkem,Celkem,2020,2932963
Česko,Počet ekonomických subjektů celkem,Celkem,2019,2892452
Česko,Počet ekonomických subjektů celkem,Celkem,2018,2889422
Česko,Počet ekonomických subjektů celkem,Celkem,2017,2848672
Česko,Počet ekonomických subjektů celkem,Celkem,2016,2807532
Česko,Počet ekonomických subjektů celkem,Celkem,2015,2768953
Česko,Počet ekonomických subjektů celkem,Celkem,2014,2733459
Česko,Počet ekonomických subjektů celkem,Celkem,2013,2694737
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2024,2835960
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2023,2800237
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2022,2996784
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2021,2976207
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2020,2932906
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2019,2892395
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2018,2889366
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2017,2848615
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2016,2807475
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2015,2768896
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2014,2733401
Česko,Počet ekonomických subjektů celkem,Národní hospodářství - rezidenti,2013,2694467
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2024,595906
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2023,582987
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2022,570370
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2021,557181
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2020,542141
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2019,531001
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2018,517074
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2017,498959
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2016,478778
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2015,458789
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2014,438045
Česko,Počet ekonomických subjektů celkem,Nefinanční podniky,2013,472492
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2024,5952
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2023,5343
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2022,5082
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2021,4408
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2020,4198
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2019,4058
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2018,3811
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2017,3591
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2016,3450
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2015,3209
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2014,2950
Česko,Počet ekonomických subjektů celkem,Finanční instituce,2013,3163
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2024,18125
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2023,18142
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2022,18133
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2021,18069
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2020,18048
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2019,18039
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2018,18046
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2017,18047
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2016,18084
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2015,17451
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2014,17499
Česko,Počet ekonomických subjektů celkem,Vládní instituce,2013,17559
Česko,Počet ekonomických subjektů celkem,Domácnosti,2024,2066352
Česko,Počet ekonomických subjektů celkem,Domácnosti,2023,2044847
Česko,Počet ekonomických subjektů celkem,Domácnosti,2022,2253537
Česko,Počet ekonomických subjektů celkem,Domácnosti,2021,2244960
Česko,Počet ekonomických subjektů celkem,Domácnosti,2020,2215711
Česko,Počet ekonomických subjektů celkem,Domácnosti,2019,2187933
Česko,Počet ekonomických subjektů celkem,Domácnosti,2018,2201080
Česko,Počet ekonomických subjektů celkem,Domácnosti,2017,2180158
Česko,Počet ekonomických subjektů celkem,Domácnosti,2016,2162335
Česko,Počet ekonomických subjektů celkem,Domácnosti,2015,2148967
Česko,Počet ekonomických subjektů celkem,Domácnosti,2014,2137386
Česko,Počet ekonomických subjektů celkem,Domácnosti,2013,2067951
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2024,149625
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2023,148918
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2022,149662
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2021,151589
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2020,152808
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2019,151364
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2018,149355
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2017,147860
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2016,144828
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2015,140480
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2014,137521
Česko,Počet ekonomických subjektů celkem,Neziskové instituce sloužící domácnostem,2013,133302
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2024,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2023,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2022,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2021,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2020,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2019,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2018,56
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2017,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2016,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2015,57
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2014,58
Česko,Počet ekonomických subjektů celkem,Nerezidenti,2013,270
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2024,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2023,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2022,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2021,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2020,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2019,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2018,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2017,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2016,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2015,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2014,18
Česko,Počet ekonomických subjektů celkem,"Členské státy, orgány a instituce Evropské unie",2013,21
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2024,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2023,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2022,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2021,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2020,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2019,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2018,38
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2017,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2016,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2015,39
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2014,40
Česko,Počet ekonomických subjektů celkem,Ostatní země a mezinárodní organizace - nerezidenti EU,2013,249
