Kategorie;Ukazatel;Roky;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Hlavní město Praha;4183
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Středočeský kraj;843
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Jihočeský kraj;333
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Plzeňský kraj;442
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Karlovarský kraj;70
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Ústecký kraj;173
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Liberecký kraj;201
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Královéhradecký kraj;291
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Pardubický kraj;418
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Kraj Vysočina;913
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Jihomoravský kraj;2213
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Olomoucký kraj;980
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Zlínský kraj;323
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2024;Moravskoslezský kraj;447
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Hlavní město Praha;4270
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Středočeský kraj;888
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Jihočeský kraj;303
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Plzeňský kraj;504
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Karlovarský kraj;57
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Ústecký kraj;113
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Liberecký kraj;154
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Královéhradecký kraj;213
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Pardubický kraj;465
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Kraj Vysočina;823
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Jihomoravský kraj;2285
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Olomoucký kraj;1002
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Zlínský kraj;317
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2023;Moravskoslezský kraj;648
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Hlavní město Praha;3453
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Středočeský kraj;694
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Jihočeský kraj;216
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Plzeňský kraj;432
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Karlovarský kraj;69
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Ústecký kraj;125
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Liberecký kraj;133
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Královéhradecký kraj;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Pardubický kraj;537
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Kraj Vysočina;638
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Jihomoravský kraj;2062
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Olomoucký kraj;833
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Zlínský kraj;279
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2022;Moravskoslezský kraj;443
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Hlavní město Praha;1107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Středočeský kraj;258
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2021;Jihočeský kraj;93
