Roky,Ukazatel,Území,Velikostní skupina obcí,value
2024,Počet obyvatel,Česko,Celkem,10909500
2024,Počet obyvatel,Česko,méně než 200,169261
2024,Počet obyvatel,Česko,200 až 499,661034
2024,Počet obyvatel,Česko,500 až 999,979054
2024,Počet obyvatel,Česko,1 000 až 1 9999,1119009
2024,Počet obyvatel,Česko,2 000 až 4 999,1364542
2024,Počet obyvatel,Česko,5 000 až 9 9999,990670
2024,Počet obyvatel,Česko,10 000 až 19 999,938916
2024,Počet obyvatel,Česko,20 000 až 49 999,1338669
2024,Počet obyvatel,Česko,50 000 až 99 999,865458
2024,Počet obyvatel,Česko,100 000 a více,2482887
2024,Počet obyvatel,Hlavní město Praha,Celkem,1397880
2024,Počet obyvatel,Hlavní město Praha,méně než 200,0
2024,Počet obyvatel,Hlavní město Praha,200 až 499,0
2024,Počet obyvatel,Hlavní město Praha,500 až 999,0
2024,Počet obyvatel,Hlavní město Praha,1 000 až 1 9999,0
2024,Počet obyvatel,Hlavní město Praha,2 000 až 4 999,0
2024,Počet obyvatel,Hlavní město Praha,5 000 až 9 9999,0
2024,Počet obyvatel,Hlavní město Praha,10 000 až 19 999,0
2024,Počet obyvatel,Hlavní město Praha,20 000 až 49 999,0
2024,Počet obyvatel,Hlavní město Praha,50 000 až 99 999,0
2024,Počet obyvatel,Hlavní město Praha,100 000 a více,1397880
2024,Počet obyvatel,Středočeský kraj,Celkem,1466215
2024,Počet obyvatel,Středočeský kraj,méně než 200,24753
2024,Počet obyvatel,Středočeský kraj,200 až 499,123051
2024,Počet obyvatel,Středočeský kraj,500 až 999,203550
2024,Počet obyvatel,Středočeský kraj,1 000 až 1 9999,218960
2024,Počet obyvatel,Středočeský kraj,2 000 až 4 999,267530
2024,Počet obyvatel,Středočeský kraj,5 000 až 9 9999,148707
2024,Počet obyvatel,Středočeský kraj,10 000 až 19 999,212683
2024,Počet obyvatel,Středočeský kraj,20 000 až 49 999,197317
2024,Počet obyvatel,Středočeský kraj,50 000 až 99 999,69664
2024,Počet obyvatel,Středočeský kraj,100 000 a více,0
2024,Počet obyvatel,Jihočeský kraj,Celkem,653227
2024,Počet obyvatel,Jihočeský kraj,méně než 200,25866
2024,Počet obyvatel,Jihočeský kraj,200 až 499,68575
2024,Počet obyvatel,Jihočeský kraj,500 až 999,57714
2024,Počet obyvatel,Jihočeský kraj,1 000 až 1 9999,79256
2024,Počet obyvatel,Jihočeský kraj,2 000 až 4 999,100704
2024,Počet obyvatel,Jihočeský kraj,5 000 až 9 9999,91593
2024,Počet obyvatel,Jihočeský kraj,10 000 až 19 999,23916
2024,Počet obyvatel,Jihočeský kraj,20 000 až 49 999,108372
2024,Počet obyvatel,Jihočeský kraj,50 000 až 99 999,97231
2024,Počet obyvatel,Jihočeský kraj,100 000 a více,0
2024,Počet obyvatel,Plzeňský kraj,Celkem,614640
2024,Počet obyvatel,Plzeňský kraj,méně než 200,18605
2024,Počet obyvatel,Plzeňský kraj,200 až 499,52247
2024,Počet obyvatel,Plzeňský kraj,500 až 999,56001
2024,Počet obyvatel,Plzeňský kraj,1 000 až 1 9999,72374
2024,Počet obyvatel,Plzeňský kraj,2 000 až 4 999,84116
2024,Počet obyvatel,Plzeňský kraj,5 000 až 9 9999,70255
2024,Počet obyvatel,Plzeňský kraj,10 000 až 19 999,50351
2024,Počet obyvatel,Plzeňský kraj,20 000 až 49 999,22763
2024,Počet obyvatel,Plzeňský kraj,50 000 až 99 999,0
2024,Počet obyvatel,Plzeňský kraj,100 000 a více,187928
2024,Počet obyvatel,Karlovarský kraj,Celkem,293195
2024,Počet obyvatel,Karlovarský kraj,méně než 200,1648
2024,Počet obyvatel,Karlovarský kraj,200 až 499,15713
2024,Počet obyvatel,Karlovarský kraj,500 až 999,21734
2024,Počet obyvatel,Karlovarský kraj,1 000 až 1 9999,25907
2024,Počet obyvatel,Karlovarský kraj,2 000 až 4 999,44198
2024,Počet obyvatel,Karlovarský kraj,5 000 až 9 9999,25081
2024,Počet obyvatel,Karlovarský kraj,10 000 až 19 999,55026
2024,Počet obyvatel,Karlovarský kraj,20 000 až 49 999,103888
2024,Počet obyvatel,Karlovarský kraj,50 000 až 99 999,0
2024,Počet obyvatel,Karlovarský kraj,100 000 a více,0
2024,Počet obyvatel,Ústecký kraj,Celkem,808356
2024,Počet obyvatel,Ústecký kraj,méně než 200,5737
2024,Počet obyvatel,Ústecký kraj,200 až 499,44522
2024,Počet obyvatel,Ústecký kraj,500 až 999,59742
2024,Počet obyvatel,Ústecký kraj,1 000 až 1 9999,64613
2024,Počet obyvatel,Ústecký kraj,2 000 až 4 999,85279
2024,Počet obyvatel,Ústecký kraj,5 000 až 9 9999,51008
2024,Počet obyvatel,Ústecký kraj,10 000 až 19 999,153902
2024,Počet obyvatel,Ústecký kraj,20 000 až 49 999,138301
2024,Počet obyvatel,Ústecký kraj,50 000 až 99 999,205252
2024,Počet obyvatel,Ústecký kraj,100 000 a více,0
2024,Počet obyvatel,Liberecký kraj,Celkem,449494
2024,Počet obyvatel,Liberecký kraj,méně než 200,3570
2024,Počet obyvatel,Liberecký kraj,200 až 499,20818
2024,Počet obyvatel,Liberecký kraj,500 až 999,42862
2024,Počet obyvatel,Liberecký kraj,1 000 až 1 9999,45264
2024,Počet obyvatel,Liberecký kraj,2 000 až 4 999,55736
2024,Počet obyvatel,Liberecký kraj,5 000 až 9 9999,64235
2024,Počet obyvatel,Liberecký kraj,10 000 až 19 999,25895
2024,Počet obyvatel,Liberecký kraj,20 000 až 49 999,83024
2024,Počet obyvatel,Liberecký kraj,50 000 až 99 999,0
2024,Počet obyvatel,Liberecký kraj,100 000 a více,108090
2024,Počet obyvatel,Královéhradecký kraj,Celkem,555923
2024,Počet obyvatel,Královéhradecký kraj,méně než 200,12733
2024,Počet obyvatel,Královéhradecký kraj,200 až 499,56621
2024,Počet obyvatel,Královéhradecký kraj,500 až 999,66562
2024,Počet obyvatel,Královéhradecký kraj,1 000 až 1 9999,54499
2024,Počet obyvatel,Královéhradecký kraj,2 000 až 4 999,58133
2024,Počet obyvatel,Královéhradecký kraj,5 000 až 9 9999,96202
2024,Počet obyvatel,Královéhradecký kraj,10 000 až 19 999,87255
2024,Počet obyvatel,Královéhradecký kraj,20 000 až 49 999,29607
2024,Počet obyvatel,Královéhradecký kraj,50 000 až 99 999,94311
2024,Počet obyvatel,Královéhradecký kraj,100 000 a více,0
2024,Počet obyvatel,Pardubický kraj,Celkem,530469
2024,Počet obyvatel,Pardubický kraj,méně než 200,13425
2024,Počet obyvatel,Pardubický kraj,200 až 499,57411
2024,Počet obyvatel,Pardubický kraj,500 až 999,66619
2024,Počet obyvatel,Pardubický kraj,1 000 až 1 9999,67326
2024,Počet obyvatel,Pardubický kraj,2 000 až 4 999,60912
2024,Počet obyvatel,Pardubický kraj,5 000 až 9 9999,70588
2024,Počet obyvatel,Pardubický kraj,10 000 až 19 999,78305
2024,Počet obyvatel,Pardubický kraj,20 000 až 49 999,23564
2024,Počet obyvatel,Pardubický kraj,50 000 až 99 999,92319
2024,Počet obyvatel,Pardubický kraj,100 000 a více,0
2024,Počet obyvatel,Kraj Vysočina,Celkem,517647
2024,Počet obyvatel,Kraj Vysočina,méně než 200,38698
2024,Počet obyvatel,Kraj Vysočina,200 až 499,67892
2024,Počet obyvatel,Kraj Vysočina,500 až 999,71680
2024,Počet obyvatel,Kraj Vysočina,1 000 až 1 9999,49644
2024,Počet obyvatel,Kraj Vysočina,2 000 až 4 999,55076
2024,Počet obyvatel,Kraj Vysočina,5 000 až 9 9999,61972
2024,Počet obyvatel,Kraj Vysočina,10 000 až 19 999,39336
2024,Počet obyvatel,Kraj Vysočina,20 000 až 49 999,78725
2024,Počet obyvatel,Kraj Vysočina,50 000 až 99 999,54624
2024,Počet obyvatel,Kraj Vysočina,100 000 a více,0
2024,Počet obyvatel,Jihomoravský kraj,Celkem,1229343
2024,Počet obyvatel,Jihomoravský kraj,méně než 200,12988
2024,Počet obyvatel,Jihomoravský kraj,200 až 499,62923
2024,Počet obyvatel,Jihomoravský kraj,500 až 999,137072
2024,Počet obyvatel,Jihomoravský kraj,1 000 až 1 9999,152502
2024,Počet obyvatel,Jihomoravský kraj,2 000 až 4 999,188526
2024,Počet obyvatel,Jihomoravský kraj,5 000 až 9 9999,104083
