Území,Roky,Ukazatel,value
Česko,2025,Úhrnná plodnost,
Česko,2025,Hrubá míra reprodukce,
Česko,2025,Čistá míra reprodukce,
Česko,2025,Průměrný věk matek při narození dítěte,
Česko,2025,Průměrný věk matek při narození 1. dítěte,
Česko,2025,Naděje dožití mužů při narození,
Česko,2025,Naděje dožití žen při narození,
Česko,2025,Úhrnná rozvodovost (%),
Česko,2025,Průměrná délka trvání manželství při rozvodu,
Česko,2025,Tabulková prvosňatečnost mužů (%),
Česko,2025,Tabulková prvosňatečnost žen (%),
Česko,2025,Průměrný věk mužů při prvním sňatku,
Česko,2025,Průměrný věk žen při prvním sňatku,
Česko,2024,Úhrnná plodnost,1.367935055
Česko,2024,Hrubá míra reprodukce,0.664058656
Česko,2024,Čistá míra reprodukce,0.65916727
Česko,2024,Průměrný věk matek při narození dítěte,30.5144094
Česko,2024,Průměrný věk matek při narození 1. dítěte,29.00188248
Česko,2024,Naděje dožití mužů při narození,77.1537508479
Česko,2024,Naděje dožití žen při narození,83.1368450937
Česko,2024,Úhrnná rozvodovost (%),39.98654677
Česko,2024,Průměrná délka trvání manželství při rozvodu,13.52515522
Česko,2024,Tabulková prvosňatečnost mužů (%),53.01297552
Česko,2024,Tabulková prvosňatečnost žen (%),62.40476131
Česko,2024,Průměrný věk mužů při prvním sňatku,32.89697898
Česko,2024,Průměrný věk žen při prvním sňatku,30.77947822
Česko,2023,Úhrnná plodnost,1.452571879
Česko,2023,Hrubá míra reprodukce,0.705758948
Česko,2023,Čistá míra reprodukce,0.700636213
Česko,2023,Průměrný věk matek při narození dítěte,30.42951703
Česko,2023,Průměrný věk matek při narození 1. dítěte,28.90541978
Česko,2023,Naděje dožití mužů při narození,76.89409283
Česko,2023,Naděje dožití žen při narození,82.78054922
Česko,2023,Úhrnná rozvodovost (%),37.12532911
Česko,2023,Průměrná délka trvání manželství při rozvodu,13.52659166
Česko,2023,Tabulková prvosňatečnost mužů (%),55.6130961
Česko,2023,Tabulková prvosňatečnost žen (%),65.18807962
Česko,2023,Průměrný věk mužů při prvním sňatku,32.74563996
Česko,2023,Průměrný věk žen při prvním sňatku,30.64783801
Česko,2022,Úhrnná plodnost,1.617746603
Česko,2022,Hrubá míra reprodukce,0.7870346291
Česko,2022,Čistá míra reprodukce,0.780965358
Česko,2022,Průměrný věk matek při narození dítěte,30.432491855
Česko,2022,Průměrný věk matek při narození 1. dítěte,28.8460747817
Česko,2022,Naděje dožití mužů při narození,76.1483805299
Česko,2022,Naděje dožití žen při narození,82.0142787872
Česko,2022,Úhrnná rozvodovost (%),37.7002493758
Česko,2022,Průměrná délka trvání manželství při rozvodu,13.5364918094
Česko,2022,Tabulková prvosňatečnost mužů (%),60.3670108351
Česko,2022,Tabulková prvosňatečnost žen (%),70.2199671678
Česko,2022,Průměrný věk mužů při prvním sňatku,32.5289094327
Česko,2022,Průměrný věk žen při prvním sňatku,30.2977912017
Česko,2021,Úhrnná plodnost,1.826535974
Česko,2021,Hrubá míra reprodukce,0.8927527551
Česko,2021,Čistá míra reprodukce,0.8862207793
Česko,2021,Průměrný věk matek při narození dítěte,30.4234234875
Česko,2021,Průměrný věk matek při narození 1. dítěte,28.8076464053
Česko,2021,Naděje dožití mužů při narození,74.0931411952
Česko,2021,Naděje dožití žen při narození,80.5085140627
Česko,2021,Úhrnná rozvodovost (%),39.7489128662
Česko,2021,Průměrná délka trvání manželství při rozvodu,13.6007371736
Česko,2021,Tabulková prvosňatečnost mužů (%),54.4287689298
Česko,2021,Tabulková prvosňatečnost žen (%),63.7135543838
Česko,2021,Průměrný věk mužů při prvním sňatku,32.5634665558
Česko,2021,Průměrný věk žen při prvním sňatku,30.2836832658
Česko,2020,Úhrnná plodnost,1.707372719
Česko,2020,Hrubá míra reprodukce,0.8350173061
Česko,2020,Čistá míra reprodukce,0.829501663
Česko,2020,Průměrný věk matek při narození dítěte,30.1932449315
Česko,2020,Průměrný věk matek při narození 1. dítěte,28.5063154185
Česko,2020,Naděje dožití mužů při narození,75.3035998674
Česko,2020,Naděje dožití žen při narození,81.3768895567
Česko,2020,Úhrnná rozvodovost (%),40.5557756884
Česko,2020,Průměrná délka trvání manželství při rozvodu,13.7050412615
Česko,2020,Tabulková prvosňatečnost mužů (%),51.8781785659
Česko,2020,Tabulková prvosňatečnost žen (%),60.8137275487
Česko,2020,Průměrný věk mužů při prvním sňatku,32.6234399325
Česko,2020,Průměrný věk žen při prvním sňatku,30.4084341307
Česko,2019,Úhrnná plodnost,1.708963053
Česko,2019,Hrubá míra reprodukce,0.8323069818
Česko,2019,Čistá míra reprodukce,0.8258920518
Česko,2019,Průměrný věk matek při narození dítěte,30.1544962688
Česko,2019,Průměrný věk matek při narození 1. dítěte,28.4614541744
Česko,2019,Naděje dožití mužů při narození,76.3289995826
Česko,2019,Naděje dožití žen při narození,82.1014818384
Česko,2019,Úhrnná rozvodovost (%),44.803765552
Česko,2019,Průměrná délka trvání manželství při rozvodu,13.4869169746
Česko,2019,Tabulková prvosňatečnost mužů (%),59.0343735474
Česko,2019,Tabulková prvosňatečnost žen (%),67.5477609552
Česko,2019,Průměrný věk mužů při prvním sňatku,32.1494345051
Česko,2019,Průměrný věk žen při prvním sňatku,29.8116373277
Česko,2018,Úhrnná plodnost,1.708412422
Česko,2018,Hrubá míra reprodukce,0.83533466
Česko,2018,Čistá míra reprodukce,0.8291016889
Česko,2018,Průměrný věk matek při narození dítěte,30.1101562421
Česko,2018,Průměrný věk matek při narození 1. dítěte,28.361857579
Česko,2018,Naděje dožití mužů při narození,76.0839391341
Česko,2018,Naděje dožití žen při narození,81.891750582
Česko,2018,Úhrnná rozvodovost (%),44.8214830026
Česko,2018,Průměrná délka trvání manželství při rozvodu,13.4015266399
Česko,2018,Tabulková prvosňatečnost mužů (%),58.7814786414
