Kategorie;Ukazatel;Čtvrtletí;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Hlavní město Praha;785
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Středočeský kraj;138
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Jihočeský kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Plzeňský kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Karlovarský kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Ústecký kraj;35
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Liberecký kraj;56
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Královéhradecký kraj;83
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Pardubický kraj;94
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Kraj Vysočina;164
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Jihomoravský kraj;598
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Olomoucký kraj;186
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Zlínský kraj;59
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2025;Moravskoslezský kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Hlavní město Praha;1293
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Středočeský kraj;229
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Jihočeský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Plzeňský kraj;122
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Karlovarský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Ústecký kraj;48
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Liberecký kraj;60
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Královéhradecký kraj;104
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Pardubický kraj;115
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Kraj Vysočina;273
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Jihomoravský kraj;763
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Olomoucký kraj;315
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Zlínský kraj;84
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2024;Moravskoslezský kraj;142
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Hlavní město Praha;780
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2024;Středočeský kraj;124
