Ekonomické subjekty ;Ukazatel;ČR, kraje, okresy;Roky;value
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2024;2836017
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2023;2800294
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2022;2996841
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2021;2976264
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2020;2932963
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2019;2892452
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2018;2889422
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2017;2848672
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2016;2807532
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2015;2768953
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2014;2733459
Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;Česko;2013;2694737
