Rok sčítání,Typ domácnosti,Území,Ukazatel,value
2021,Domácnosti tvořené jednou rodinou,Česká republika,Počet závislých dětí v domácnosti tvořené 1 rodinou,2071651.0
2021,Domácnosti tvořené jednou rodinou,Česká republika,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7468288673
2021,Domácnosti tvořené jednou rodinou,Hlavní město Praha,Počet závislých dětí v domácnosti tvořené 1 rodinou,240059.0
2021,Domácnosti tvořené jednou rodinou,Hlavní město Praha,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7414629174
2021,Domácnosti tvořené jednou rodinou,Středočeský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,304284.0
2021,Domácnosti tvořené jednou rodinou,Středočeský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.8082041148
2021,Domácnosti tvořené jednou rodinou,Jihočeský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,125218.0
2021,Domácnosti tvořené jednou rodinou,Jihočeský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7409042229
2021,Domácnosti tvořené jednou rodinou,Plzeňský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,110679.0
2021,Domácnosti tvořené jednou rodinou,Plzeňský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7116613727
2021,Domácnosti tvořené jednou rodinou,Karlovarský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,51936.0
2021,Domácnosti tvořené jednou rodinou,Karlovarský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7163783829
2021,Domácnosti tvořené jednou rodinou,Ústecký kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,154975.0
2021,Domácnosti tvořené jednou rodinou,Ústecký kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7465688423
2021,Domácnosti tvořené jednou rodinou,Liberecký kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,87093.0
2021,Domácnosti tvořené jednou rodinou,Liberecký kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7572975088
2021,Domácnosti tvořené jednou rodinou,Královéhradecký kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,105328.0
2021,Domácnosti tvořené jednou rodinou,Královéhradecký kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7294839563
2021,Domácnosti tvořené jednou rodinou,Pardubický kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,102518.0
2021,Domácnosti tvořené jednou rodinou,Pardubický kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7503439998
2021,Domácnosti tvořené jednou rodinou,Kraj Vysočina,Počet závislých dětí v domácnosti tvořené 1 rodinou,98136.0
2021,Domácnosti tvořené jednou rodinou,Kraj Vysočina,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7384698738
2021,Domácnosti tvořené jednou rodinou,Jihomoravský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,233837.0
2021,Domácnosti tvořené jednou rodinou,Jihomoravský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7469303401
2021,Domácnosti tvořené jednou rodinou,Olomoucký kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,122354.0
2021,Domácnosti tvořené jednou rodinou,Olomoucký kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7355568648
2021,Domácnosti tvořené jednou rodinou,Zlínský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,109666.0
2021,Domácnosti tvořené jednou rodinou,Zlínský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.728629327
2021,Domácnosti tvořené jednou rodinou,Moravskoslezský kraj,Počet závislých dětí v domácnosti tvořené 1 rodinou,225568.0
2021,Domácnosti tvořené jednou rodinou,Moravskoslezský kraj,Průměrný počet závislých dětí v domácnosti tvořené 1 rodinou,0.7270875304
