Ukazatel,Rok sčítání,Pohlaví,Území,Náboženská víra,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Obyvatelstvo celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",1374285
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Církev římskokatolická,741019
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Církev československá husitská,23610
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Českobratrská církev evangelická,32577
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",960201
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Bez náboženské víry,5027141
Počet obyvatel (obvyklý pobyt),2021,Celkem,Česká republika,Neuvedeno,3162540
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Obyvatelstvo celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",150695
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Církev římskokatolická,54863
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Církev československá husitská,3949
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Českobratrská církev evangelická,5507
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",136397
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Bez náboženské víry,645956
Počet obyvatel (obvyklý pobyt),2021,Celkem,Hlavní město Praha,Neuvedeno,368384
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Obyvatelstvo celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",115570
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Církev římskokatolická,48858
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Církev československá husitská,3093
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Českobratrská církev evangelická,3459
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",107081
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Bez náboženské víry,767306
Počet obyvatel (obvyklý pobyt),2021,Celkem,Středočeský kraj,Neuvedeno,425506
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Obyvatelstvo celkem,631803
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",75579
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Církev římskokatolická,44371
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Církev československá husitská,1189
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Českobratrská církev evangelická,902
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",62275
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Bez náboženské víry,282437
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihočeský kraj,Neuvedeno,211512
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Obyvatelstvo celkem,581436
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,"Věřící - hlásící se k církvi, náboženské společnosti nebo směru",47467
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Církev římskokatolická,22810
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Církev československá husitská,618
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Českobratrská církev evangelická,924
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,"Věřící - nehlásící se k církvi, náboženské společnosti nebo směru",45159
Počet obyvatel (obvyklý pobyt),2021,Celkem,Plzeňský kraj,Bez náboženské víry,301315
