Pohlaví;ČR a kraje;Věkové skupiny;Ukazatel;Roky;Stupeň závislosti u příspěvku na péči;value
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2014;Celkem;332211
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2014;I. stupeň závislosti;108658
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2014;II. stupeň závislosti;108223
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2014;III. stupeň závislosti;73081
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2014;IV. stupeň závislosti;42249
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2015;Celkem;339396
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2015;I. stupeň závislosti;107726
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2015;II. stupeň závislosti;110382
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2015;III. stupeň závislosti;76908
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2015;IV. stupeň závislosti;44380
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2016;Celkem;350043
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2016;I. stupeň závislosti;107878
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2016;II. stupeň závislosti;114097
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2016;III. stupeň závislosti;80894
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2016;IV. stupeň závislosti;47174
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2017;Celkem;353244
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2017;I. stupeň závislosti;106673
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2017;II. stupeň závislosti;115012
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2017;III. stupeň závislosti;83035
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2017;IV. stupeň závislosti;48524
Celkem;Česko;Celkem;Příjemci příspěvku na péči podle stupně závislosti v prosinci daného roku;2018;Celkem;358223
