Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Česko,Zemřelí,57728.0
Q1-Q2 2025,Celkem,Česko,Zemřelí do 1 roku,103.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 1 - 14 let,77.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 15 - 39 let,901.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 40 - 49 let,1513.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 50 - 59 let,3300.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 60 - 69 let,7385.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 70 - 79 let,17032.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 80 - 89 let,18755.0
Q1-Q2 2025,Celkem,Česko,Zemřelí ve věku 90 a více let,8662.0
Q1-Q2 2025,Celkem,Česko,Kojenecká úmrtnost,2.751435822
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí,6135.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí do 1 roku,8.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 1 - 14 let,9.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 15 - 39 let,112.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 40 - 49 let,161.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 50 - 59 let,275.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 60 - 69 let,602.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 70 - 79 let,1692.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 80 - 89 let,2075.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí ve věku 90 a více let,1201.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Kojenecká úmrtnost,1.52264941
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí,6923.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí do 1 roku,17.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 1 - 14 let,8.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 15 - 39 let,110.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 40 - 49 let,171.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 50 - 59 let,378.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 60 - 69 let,870.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 70 - 79 let,2160.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 80 - 89 let,2182.0
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí ve věku 90 a více let,1027.0
Q1-Q2 2025,Celkem,Středočeský kraj,Kojenecká úmrtnost,3.468679861
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí,3623.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí do 1 roku,6.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 1 - 14 let,5.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 15 - 39 let,47.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 40 - 49 let,89.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 50 - 59 let,217.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 60 - 69 let,469.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 70 - 79 let,1054.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 80 - 89 let,1202.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí ve věku 90 a více let,534.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Kojenecká úmrtnost,2.657218778
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí,3389.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí do 1 roku,6.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 1 - 14 let,3.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 15 - 39 let,48.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 40 - 49 let,101.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 50 - 59 let,204.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 60 - 69 let,413.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 70 - 79 let,1004.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 80 - 89 let,1093.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí ve věku 90 a více let,517.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Kojenecká úmrtnost,2.992518703
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí,1751.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí do 1 roku,3.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 1 - 14 let,1.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 15 - 39 let,34.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 40 - 49 let,54.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 50 - 59 let,106.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 60 - 69 let,273.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 70 - 79 let,566.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 80 - 89 let,502.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Zemřelí ve věku 90 a více let,212.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Kojenecká úmrtnost,3.359462486
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí,4845.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí do 1 roku,12.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 1 - 14 let,6.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 15 - 39 let,68.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 40 - 49 let,123.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 50 - 59 let,344.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 60 - 69 let,755.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 70 - 79 let,1610.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 80 - 89 let,1440.0
Q1-Q2 2025,Celkem,Ústecký kraj,Zemřelí ve věku 90 a více let,487.0
Q1-Q2 2025,Celkem,Ústecký kraj,Kojenecká úmrtnost,4.535147392
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí,2395.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí do 1 roku,5.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 1 - 14 let,3.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 15 - 39 let,34.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 40 - 49 let,51.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 50 - 59 let,126.0
Q1-Q2 2025,Celkem,Liberecký kraj,Zemřelí ve věku 60 - 69 let,363.0
