Ukazatel,Rok sčítání,Ekonomická aktivita,Území,Místo pracoviště,value
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,Zaměstnaní celkem,5290071
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,Na adrese obvyklého pobytu,1011538
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,Na jiné adrese v obci obvyklého pobytu,1539021
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,V jiné obci okresu,1110573
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,V jiném okrese kraje,486879
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,V jiném kraji,431973
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,V zahraničí,74198
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,Bez stálého pracoviště,493756
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Česká republika,Nezjištěno,142133
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,Zaměstnaní celkem,733840
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,Na adrese obvyklého pobytu,141946
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,Na jiné adrese v obci obvyklého pobytu,447273
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,V jiné obci okresu,0
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,V jiném okrese kraje,0
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,V jiném kraji,45072
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,V zahraničí,4076
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,Bez stálého pracoviště,82173
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Hlavní město Praha,Nezjištěno,13300
Počet obyvatel (obvyklý pobyt),2021,Zaměstnaní,Středočeský kraj,Zaměstnaní celkem,726887
