Stát,Roky,Velkost zpravodajské jednotky,Ukazatel,value
Česko,2023,Celkem zaměstnanců,Náklady práce celkem,713414.1881813844
Česko,2023,Celkem zaměstnanců,Přímé náklady celkem,513628.5720093306
Česko,2023,Celkem zaměstnanců,Přímé náklady - mzdy za vykonanou práci,455790.1519243921
Česko,2023,Celkem zaměstnanců,Přímé náklady - náhrady mzdy,57838.4200849385
Česko,2023,Celkem zaměstnanců,Nepřímé náklady - sociální požitky,8128.1492341359
Česko,2023,Celkem zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,175810.4806011478
Česko,2023,Celkem zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,10189.5874253466
Česko,2023,Celkem zaměstnanců,Nepřímé náklady - personální náklady/výdaje,6879.5214981336
Česko,2023,Celkem zaměstnanců,Nepřímé náklady - daně a dotace,-1222.1225867102
Česko,2023,1 až 9 zaměstnanců,Náklady práce celkem,458605.6582433572
Česko,2023,1 až 9 zaměstnanců,Přímé náklady celkem,337912.4246512516
Česko,2023,1 až 9 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,307916.4743296413
Česko,2023,1 až 9 zaměstnanců,Přímé náklady - náhrady mzdy,29995.9503216103
Česko,2023,1 až 9 zaměstnanců,Nepřímé náklady - sociální požitky,2099.6709246966
Česko,2023,1 až 9 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,114251.9978766678
Česko,2023,1 až 9 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,2853.166542447
Česko,2023,1 až 9 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,2466.3878361798
Česko,2023,1 až 9 zaměstnanců,Nepřímé náklady - daně a dotace,-977.9895878857
Česko,2023,10 až 19 zaměstnanců,Náklady práce celkem,552840.3227188152
Česko,2023,10 až 19 zaměstnanců,Přímé náklady celkem,402730.3348971663
Česko,2023,10 až 19 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,360113.9243400168
Česko,2023,10 až 19 zaměstnanců,Přímé náklady - náhrady mzdy,42616.4105571495
Česko,2023,10 až 19 zaměstnanců,Nepřímé náklady - sociální požitky,4213.1543595811
Česko,2023,10 až 19 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,137668.8957987419
Česko,2023,10 až 19 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,5865.5607036921
Česko,2023,10 až 19 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,3531.2325414217
Česko,2023,10 až 19 zaměstnanců,Nepřímé náklady - daně a dotace,-1168.855581788
Česko,2023,20 a více zaměstnanců,Náklady práce celkem,765644.4951213577
Česko,2023,20 a více zaměstnanců,Přímé náklady celkem,549661.7004356167
Česko,2023,20 a více zaměstnanců,Přímé náklady - mzdy za vykonanou práci,486326.6390923682
Česko,2023,20 a více zaměstnanců,Přímé náklady - náhrady mzdy,63335.0613432485
Česko,2023,20 a více zaměstnanců,Nepřímé náklady - sociální požitky,9374.3658082248
Česko,2023,20 a více zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,188369.6871696655
Česko,2023,20 a více zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,11666.2957984675
Česko,2023,20 a více zaměstnanců,Nepřímé náklady - personální náklady/výdaje,7835.5001492218
Česko,2023,20 a více zaměstnanců,Nepřímé náklady - daně a dotace,-1263.0542398386
Česko,2023,20 až 49 zaměstnanců,Náklady práce celkem,633324.0182588983
Česko,2023,20 až 49 zaměstnanců,Přímé náklady celkem,462103.7300522219
Česko,2023,20 až 49 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,410739.3384142963
Česko,2023,20 až 49 zaměstnanců,Přímé náklady - náhrady mzdy,51364.3916379257
Česko,2023,20 až 49 zaměstnanců,Nepřímé náklady - sociální požitky,4661.7338016554
Česko,2023,20 až 49 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,158100.8961262784
Česko,2023,20 až 49 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,6478.4679959131
Česko,2023,20 až 49 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,3607.756701606
Česko,2023,20 až 49 zaměstnanců,Nepřímé náklady - daně a dotace,-1628.5664187765
Česko,2023,50 až 99 zaměstnanců,Náklady práce celkem,687458.7634908592
Česko,2023,50 až 99 zaměstnanců,Přímé náklady celkem,501805.6405196707
Česko,2023,50 až 99 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,442226.4634300902
Česko,2023,50 až 99 zaměstnanců,Přímé náklady - náhrady mzdy,59579.1770895805
Česko,2023,50 až 99 zaměstnanců,Nepřímé náklady - sociální požitky,4823.833998998
Česko,2023,50 až 99 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,171924.0241927421
Česko,2023,50 až 99 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,7158.8303647264
Česko,2023,50 až 99 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,3594.9208844699
Česko,2023,50 až 99 zaměstnanců,Nepřímé náklady - daně a dotace,-1848.4864697479
Česko,2023,100 až 249 zaměstnanců,Náklady práce celkem,715498.07602105
Česko,2023,100 až 249 zaměstnanců,Přímé náklady celkem,518515.2901158328
Česko,2023,100 až 249 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,458743.8186512744
Česko,2023,100 až 249 zaměstnanců,Přímé náklady - náhrady mzdy,59771.4714645583
Česko,2023,100 až 249 zaměstnanců,Nepřímé náklady - sociální požitky,6273.6626623327
Česko,2023,100 až 249 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,177669.0592540899
Česko,2023,100 až 249 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,9783.7125667446
Česko,2023,100 až 249 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,5004.1810253671
Česko,2023,100 až 249 zaměstnanců,Nepřímé náklady - daně a dotace,-1747.8296033171
Česko,2023,250 až 499 zaměstnanců,Náklady práce celkem,758887.5258078482
Česko,2023,250 až 499 zaměstnanců,Přímé náklady celkem,544862.8508204932
Česko,2023,250 až 499 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,482162.6429258898
Česko,2023,250 až 499 zaměstnanců,Přímé náklady - náhrady mzdy,62700.2078946034
Česko,2023,250 až 499 zaměstnanců,Nepřímé náklady - sociální požitky,9911.418718419
Česko,2023,250 až 499 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,186754.5009228008
Česko,2023,250 až 499 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,11457.5421026923
Česko,2023,250 až 499 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,7310.2553944212
Česko,2023,250 až 499 zaměstnanců,Nepřímé náklady - daně a dotace,-1409.0421509783
Česko,2023,500 až 999 zaměstnanců,Náklady práce celkem,821547.9266346346
Česko,2023,500 až 999 zaměstnanců,Přímé náklady celkem,588713.5235072997
Česko,2023,500 až 999 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,521121.6954833738
Česko,2023,500 až 999 zaměstnanců,Přímé náklady - náhrady mzdy,67591.8280239258
Česko,2023,500 až 999 zaměstnanců,Nepřímé náklady - sociální požitky,10808.2204233993
Česko,2023,500 až 999 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,201379.8354154959
Česko,2023,500 až 999 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,14569.3829889173
Česko,2023,500 až 999 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,8190.4174821958
Česko,2023,500 až 999 zaměstnanců,Nepřímé náklady - daně a dotace,-2113.4531826733
Česko,2023,1 000 a více zaměstnanců,Náklady práce celkem,874890.7950920985
Česko,2023,1 000 a více zaměstnanců,Přímé náklady celkem,618406.4315123196
Česko,2023,1 000 a více zaměstnanců,Přímé náklady - mzdy za vykonanou práci,546934.6442343928
Česko,2023,1 000 a více zaměstnanců,Přímé náklady - náhrady mzdy,71471.7872779268
Česko,2023,1 000 a více zaměstnanců,Nepřímé náklady - sociální požitky,14705.5551420539
Česko,2023,1 000 a více zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,212218.2626147622
Česko,2023,1 000 a více zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní,16271.519368284
Česko,2023,1 000 a více zaměstnanců,Nepřímé náklady - personální náklady/výdaje,13463.1892938668
Česko,2023,1 000 a více zaměstnanců,Nepřímé náklady - daně a dotace,-174.162839188
