Území,Měsíce,Typ ceny,Očištění,Země,Ukazatel,value
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,"Vývoz (v mil. Kč, FOB)",337293.578883
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,"Dovoz (v mil. Kč, CIF)",329533.655403
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,Bilance (v mil. Kč),7759.92348
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (v mil. Kč),666827.234286
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,Vývoz (meziroční index),108.3314472276
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,Dovoz (meziroční index),107.4349722228
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (meziroční index),107.8865637089
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,"Vývoz (v mil. Kč, FOB)",201426.719593
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,"Dovoz (v mil. Kč, CIF)",154507.961163
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,Bilance (v mil. Kč),46918.75843
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (v mil. Kč),355934.680756
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,Vývoz (meziroční index),104.1836818599
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,Dovoz (meziroční index),108.4727015765
Česko,prosinec 2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (meziroční index),106.00311785
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,"Vývoz (v mil. Kč, FOB)",251917.286049
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,"Dovoz (v mil. Kč, CIF)",202671.410652
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,Bilance (v mil. Kč),49245.875397
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (v mil. Kč),454588.696701
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,Vývoz (meziroční index),104.311325554
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,Dovoz (meziroční index),108.1233329476
Česko,prosinec 2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (meziroční index),105.9771155988
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Vývoz (v mil. Kč, FOB)",85208.174092
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Dovoz (v mil. Kč, CIF)",123893.872185
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Bilance (v mil. Kč),-38685.698093
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (v mil. Kč),209102.046277
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Vývoz (meziroční index),122.2855013769
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Dovoz (meziroční index),106.1762288468
Česko,prosinec 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (meziroční index),112.1992426995
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,"Vývoz (v mil. Kč, FOB)",168.118742
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,"Dovoz (v mil. Kč, CIF)",2968.372566
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,Bilance (v mil. Kč),-2800.253824
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (v mil. Kč),3136.491308
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,Vývoz (meziroční index),99.8172431873
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,Dovoz (meziroční index),114.3085957236
Česko,prosinec 2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (meziroční index),113.4259471808
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,"Vývoz (v mil. Kč, FOB)",288770.393528
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,"Dovoz (v mil. Kč, CIF)",231941.747948
Česko,prosinec 2024,Běžné ceny,Bez očištění,Evropa,Bilance (v mil. Kč),56828.64558
