Ukazatel;Rok sčítání;Území (ČR, kraje, SO ORP);Věkové skupiny (pětiletky);Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Muži;5186548
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Ženy;5337619
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 4 roky;Celkem;560632
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 4 roky;Muži;286889
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 4 roky;Ženy;273743
Počet obyvatel (obvyklý pobyt);2021;Česká republika;5 - 9 let;Celkem;550024
Počet obyvatel (obvyklý pobyt);2021;Česká republika;5 - 9 let;Muži;282072
Počet obyvatel (obvyklý pobyt);2021;Česká republika;5 - 9 let;Ženy;267952
Počet obyvatel (obvyklý pobyt);2021;Česká republika;10 - 14 let;Celkem;581104
Počet obyvatel (obvyklý pobyt);2021;Česká republika;10 - 14 let;Muži;297361
Počet obyvatel (obvyklý pobyt);2021;Česká republika;10 - 14 let;Ženy;283743
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 19 let;Celkem;489836
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 19 let;Muži;251546
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 19 let;Ženy;238290
Počet obyvatel (obvyklý pobyt);2021;Česká republika;20 - 24 let;Celkem;477063
Počet obyvatel (obvyklý pobyt);2021;Česká republika;20 - 24 let;Muži;245339
Počet obyvatel (obvyklý pobyt);2021;Česká republika;20 - 24 let;Ženy;231724
Počet obyvatel (obvyklý pobyt);2021;Česká republika;25 - 29 let;Celkem;601168
Počet obyvatel (obvyklý pobyt);2021;Česká republika;25 - 29 let;Muži;310599
Počet obyvatel (obvyklý pobyt);2021;Česká republika;25 - 29 let;Ženy;290569
Počet obyvatel (obvyklý pobyt);2021;Česká republika;30 - 34 let;Celkem;690561
Počet obyvatel (obvyklý pobyt);2021;Česká republika;30 - 34 let;Muži;357053
Počet obyvatel (obvyklý pobyt);2021;Česká republika;30 - 34 let;Ženy;333508
Počet obyvatel (obvyklý pobyt);2021;Česká republika;35 - 39 let;Celkem;719089
Počet obyvatel (obvyklý pobyt);2021;Česká republika;35 - 39 let;Muži;371700
Počet obyvatel (obvyklý pobyt);2021;Česká republika;35 - 39 let;Ženy;347389
Počet obyvatel (obvyklý pobyt);2021;Česká republika;40 - 44 let;Celkem;857917
Počet obyvatel (obvyklý pobyt);2021;Česká republika;40 - 44 let;Muži;443286
Počet obyvatel (obvyklý pobyt);2021;Česká republika;40 - 44 let;Ženy;414631
Počet obyvatel (obvyklý pobyt);2021;Česká republika;45 - 49 let;Celkem;877616
Počet obyvatel (obvyklý pobyt);2021;Česká republika;45 - 49 let;Muži;450703
Počet obyvatel (obvyklý pobyt);2021;Česká republika;45 - 49 let;Ženy;426913
Počet obyvatel (obvyklý pobyt);2021;Česká republika;50 - 54 let;Celkem;688110
Počet obyvatel (obvyklý pobyt);2021;Česká republika;50 - 54 let;Muži;350923
Počet obyvatel (obvyklý pobyt);2021;Česká republika;50 - 54 let;Ženy;337187
Počet obyvatel (obvyklý pobyt);2021;Česká republika;55 - 59 let;Celkem;666391
Počet obyvatel (obvyklý pobyt);2021;Česká republika;55 - 59 let;Muži;334736
Počet obyvatel (obvyklý pobyt);2021;Česká republika;55 - 59 let;Ženy;331655
Počet obyvatel (obvyklý pobyt);2021;Česká republika;60 - 64 let;Celkem;616608
Počet obyvatel (obvyklý pobyt);2021;Česká republika;60 - 64 let;Muži;300966
Počet obyvatel (obvyklý pobyt);2021;Česká republika;60 - 64 let;Ženy;315642
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 - 69 let;Celkem;668081
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 - 69 let;Muži;311547
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 - 69 let;Ženy;356534
Počet obyvatel (obvyklý pobyt);2021;Česká republika;70 - 74 let;Celkem;618629
Počet obyvatel (obvyklý pobyt);2021;Česká republika;70 - 74 let;Muži;272729
Počet obyvatel (obvyklý pobyt);2021;Česká republika;70 - 74 let;Ženy;345900
Počet obyvatel (obvyklý pobyt);2021;Česká republika;75 - 79 let;Celkem;419368
Počet obyvatel (obvyklý pobyt);2021;Česká republika;75 - 79 let;Muži;170234
Počet obyvatel (obvyklý pobyt);2021;Česká republika;75 - 79 let;Ženy;249134
Počet obyvatel (obvyklý pobyt);2021;Česká republika;80 - 84 let;Celkem;243373
Počet obyvatel (obvyklý pobyt);2021;Česká republika;80 - 84 let;Muži;89505
Počet obyvatel (obvyklý pobyt);2021;Česká republika;80 - 84 let;Ženy;153868
Počet obyvatel (obvyklý pobyt);2021;Česká republika;85 - 89 let;Celkem;135311
Počet obyvatel (obvyklý pobyt);2021;Česká republika;85 - 89 let;Muži;43212
Počet obyvatel (obvyklý pobyt);2021;Česká republika;85 - 89 let;Ženy;92099
Počet obyvatel (obvyklý pobyt);2021;Česká republika;90 - 94 let;Celkem;52786
Počet obyvatel (obvyklý pobyt);2021;Česká republika;90 - 94 let;Muži;14110
Počet obyvatel (obvyklý pobyt);2021;Česká republika;90 - 94 let;Ženy;38676
Počet obyvatel (obvyklý pobyt);2021;Česká republika;95 - 99 let;Celkem;9853
