Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Česko,Živě narození,37435
Q1-Q2 2025,Celkem,Česko,Zemřelí,57728
Q1-Q2 2025,Celkem,Česko,Přirozený přírůstek/úbytek,-20293
Q1-Q2 2025,Celkem,Česko,Přistěhovalí,49581
Q1-Q2 2025,Celkem,Česko,Vystěhovalí,56447
Q1-Q2 2025,Celkem,Česko,Přírůstek/úbytek stěhováním,-6866
Q1-Q2 2025,Celkem,Česko,Celkový přírůstek/úbytek,-27159
Q1-Q2 2025,Celkem,Česko,Sňatky,17336
Q1-Q2 2025,Celkem,Česko,Rozvody,10388
Q1-Q2 2025,Celkem,Hlavní město Praha,Živě narození,5254
Q1-Q2 2025,Celkem,Hlavní město Praha,Zemřelí,6135
Q1-Q2 2025,Celkem,Hlavní město Praha,Přirozený přírůstek/úbytek,-881
Q1-Q2 2025,Celkem,Hlavní město Praha,Přistěhovalí,29090
Q1-Q2 2025,Celkem,Hlavní město Praha,Vystěhovalí,29203
Q1-Q2 2025,Celkem,Hlavní město Praha,Přírůstek/úbytek stěhováním,-113
Q1-Q2 2025,Celkem,Hlavní město Praha,Celkový přírůstek/úbytek,-994
Q1-Q2 2025,Celkem,Hlavní město Praha,Sňatky,2512
Q1-Q2 2025,Celkem,Hlavní město Praha,Rozvody,1173
Q1-Q2 2025,Celkem,Středočeský kraj,Živě narození,4901
Q1-Q2 2025,Celkem,Středočeský kraj,Zemřelí,6923
Q1-Q2 2025,Celkem,Středočeský kraj,Přirozený přírůstek/úbytek,-2022
Q1-Q2 2025,Celkem,Středočeský kraj,Přistěhovalí,22355
Q1-Q2 2025,Celkem,Středočeský kraj,Vystěhovalí,18825
Q1-Q2 2025,Celkem,Středočeský kraj,Přírůstek/úbytek stěhováním,3530
Q1-Q2 2025,Celkem,Středočeský kraj,Celkový přírůstek/úbytek,1508
Q1-Q2 2025,Celkem,Středočeský kraj,Sňatky,2267
Q1-Q2 2025,Celkem,Středočeský kraj,Rozvody,1517
Q1-Q2 2025,Celkem,Jihočeský kraj,Živě narození,2258
Q1-Q2 2025,Celkem,Jihočeský kraj,Zemřelí,3623
Q1-Q2 2025,Celkem,Jihočeský kraj,Přirozený přírůstek/úbytek,-1365
Q1-Q2 2025,Celkem,Jihočeský kraj,Přistěhovalí,4807
Q1-Q2 2025,Celkem,Jihočeský kraj,Vystěhovalí,4839
Q1-Q2 2025,Celkem,Jihočeský kraj,Přírůstek/úbytek stěhováním,-32
Q1-Q2 2025,Celkem,Jihočeský kraj,Celkový přírůstek/úbytek,-1397
Q1-Q2 2025,Celkem,Jihočeský kraj,Sňatky,980
Q1-Q2 2025,Celkem,Jihočeský kraj,Rozvody,642
Q1-Q2 2025,Celkem,Plzeňský kraj,Živě narození,2005
Q1-Q2 2025,Celkem,Plzeňský kraj,Zemřelí,3389
Q1-Q2 2025,Celkem,Plzeňský kraj,Přirozený přírůstek/úbytek,-1384
Q1-Q2 2025,Celkem,Plzeňský kraj,Přistěhovalí,7216
Q1-Q2 2025,Celkem,Plzeňský kraj,Vystěhovalí,9203
Q1-Q2 2025,Celkem,Plzeňský kraj,Přírůstek/úbytek stěhováním,-1987
Q1-Q2 2025,Celkem,Plzeňský kraj,Celkový přírůstek/úbytek,-3371
