Ukazatel,Území,Pohlaví,Roky,Věk (roky),Rodinný stav,value
Počet obyvatel k 31. 12.,Česko,Ženy,2023,Celkem,Celkem,5557945
Počet obyvatel k 31. 12.,Česko,Ženy,2023,Celkem,"Svobodní, svobodné",2172204
Počet obyvatel k 31. 12.,Česko,Ženy,2023,Celkem,"Ženatí, vdané",2068487
Počet obyvatel k 31. 12.,Česko,Ženy,2023,Celkem,"Rozvedení, rozvedené",714908
Počet obyvatel k 31. 12.,Česko,Ženy,2023,Celkem,"Ovdovělí, ovdovělé",602346
Počet obyvatel k 31. 12.,Česko,Ženy,2023,0,Celkem,44429
Počet obyvatel k 31. 12.,Česko,Ženy,2023,0,"Svobodní, svobodné",44429
Počet obyvatel k 31. 12.,Česko,Ženy,2023,0,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,0,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,0,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,1,Celkem,50197
Počet obyvatel k 31. 12.,Česko,Ženy,2023,1,"Svobodní, svobodné",50197
Počet obyvatel k 31. 12.,Česko,Ženy,2023,1,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,1,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,1,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,2,Celkem,56854
Počet obyvatel k 31. 12.,Česko,Ženy,2023,2,"Svobodní, svobodné",56854
Počet obyvatel k 31. 12.,Česko,Ženy,2023,2,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,2,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,2,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,3,Celkem,55356
Počet obyvatel k 31. 12.,Česko,Ženy,2023,3,"Svobodní, svobodné",55356
Počet obyvatel k 31. 12.,Česko,Ženy,2023,3,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,3,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,3,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,4,Celkem,56376
Počet obyvatel k 31. 12.,Česko,Ženy,2023,4,"Svobodní, svobodné",56376
Počet obyvatel k 31. 12.,Česko,Ženy,2023,4,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,4,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,4,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,5,Celkem,58021
Počet obyvatel k 31. 12.,Česko,Ženy,2023,5,"Svobodní, svobodné",58021
Počet obyvatel k 31. 12.,Česko,Ženy,2023,5,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,5,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,5,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,6,Celkem,58328
Počet obyvatel k 31. 12.,Česko,Ženy,2023,6,"Svobodní, svobodné",58328
Počet obyvatel k 31. 12.,Česko,Ženy,2023,6,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,6,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,6,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,7,Celkem,58072
Počet obyvatel k 31. 12.,Česko,Ženy,2023,7,"Svobodní, svobodné",58072
Počet obyvatel k 31. 12.,Česko,Ženy,2023,7,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,7,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,7,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,8,Celkem,57247
Počet obyvatel k 31. 12.,Česko,Ženy,2023,8,"Svobodní, svobodné",57247
Počet obyvatel k 31. 12.,Česko,Ženy,2023,8,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,8,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,8,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,9,Celkem,57128
Počet obyvatel k 31. 12.,Česko,Ženy,2023,9,"Svobodní, svobodné",57128
Počet obyvatel k 31. 12.,Česko,Ženy,2023,9,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,9,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,9,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,10,Celkem,55816
Počet obyvatel k 31. 12.,Česko,Ženy,2023,10,"Svobodní, svobodné",55816
Počet obyvatel k 31. 12.,Česko,Ženy,2023,10,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,10,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,10,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,11,Celkem,57102
Počet obyvatel k 31. 12.,Česko,Ženy,2023,11,"Svobodní, svobodné",57102
Počet obyvatel k 31. 12.,Česko,Ženy,2023,11,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,11,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,11,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,12,Celkem,56697
Počet obyvatel k 31. 12.,Česko,Ženy,2023,12,"Svobodní, svobodné",56697
Počet obyvatel k 31. 12.,Česko,Ženy,2023,12,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,12,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,12,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,13,Celkem,60317
Počet obyvatel k 31. 12.,Česko,Ženy,2023,13,"Svobodní, svobodné",60317
Počet obyvatel k 31. 12.,Česko,Ženy,2023,13,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,13,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,13,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,14,Celkem,61346
Počet obyvatel k 31. 12.,Česko,Ženy,2023,14,"Svobodní, svobodné",61346
Počet obyvatel k 31. 12.,Česko,Ženy,2023,14,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,14,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,14,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,15,Celkem,61847
Počet obyvatel k 31. 12.,Česko,Ženy,2023,15,"Svobodní, svobodné",61847
Počet obyvatel k 31. 12.,Česko,Ženy,2023,15,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,15,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,15,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,16,Celkem,59784
Počet obyvatel k 31. 12.,Česko,Ženy,2023,16,"Svobodní, svobodné",59784
Počet obyvatel k 31. 12.,Česko,Ženy,2023,16,"Ženatí, vdané",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,16,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,16,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,17,Celkem,55503
Počet obyvatel k 31. 12.,Česko,Ženy,2023,17,"Svobodní, svobodné",55496
Počet obyvatel k 31. 12.,Česko,Ženy,2023,17,"Ženatí, vdané",7
Počet obyvatel k 31. 12.,Česko,Ženy,2023,17,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,17,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,18,Celkem,55081
Počet obyvatel k 31. 12.,Česko,Ženy,2023,18,"Svobodní, svobodné",54985
Počet obyvatel k 31. 12.,Česko,Ženy,2023,18,"Ženatí, vdané",96
Počet obyvatel k 31. 12.,Česko,Ženy,2023,18,"Rozvedení, rozvedené",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,18,"Ovdovělí, ovdovělé",0
Počet obyvatel k 31. 12.,Česko,Ženy,2023,19,Celkem,54023
Počet obyvatel k 31. 12.,Česko,Ženy,2023,19,"Svobodní, svobodné",53715
Počet obyvatel k 31. 12.,Česko,Ženy,2023,19,"Ženatí, vdané",298
Počet obyvatel k 31. 12.,Česko,Ženy,2023,19,"Rozvedení, rozvedené",9
Počet obyvatel k 31. 12.,Česko,Ženy,2023,19,"Ovdovělí, ovdovělé",1
Počet obyvatel k 31. 12.,Česko,Ženy,2023,20,Celkem,53008
Počet obyvatel k 31. 12.,Česko,Ženy,2023,20,"Svobodní, svobodné",52187
Počet obyvatel k 31. 12.,Česko,Ženy,2023,20,"Ženatí, vdané",806
Počet obyvatel k 31. 12.,Česko,Ženy,2023,20,"Rozvedení, rozvedené",10
Počet obyvatel k 31. 12.,Česko,Ženy,2023,20,"Ovdovělí, ovdovělé",5
Počet obyvatel k 31. 12.,Česko,Ženy,2023,21,Celkem,52062
Počet obyvatel k 31. 12.,Česko,Ženy,2023,21,"Svobodní, svobodné",50526
Počet obyvatel k 31. 12.,Česko,Ženy,2023,21,"Ženatí, vdané",1496
Počet obyvatel k 31. 12.,Česko,Ženy,2023,21,"Rozvedení, rozvedené",38
Počet obyvatel k 31. 12.,Česko,Ženy,2023,21,"Ovdovělí, ovdovělé",2
Počet obyvatel k 31. 12.,Česko,Ženy,2023,22,Celkem,50934
Počet obyvatel k 31. 12.,Česko,Ženy,2023,22,"Svobodní, svobodné",48351
Počet obyvatel k 31. 12.,Česko,Ženy,2023,22,"Ženatí, vdané",2483
Počet obyvatel k 31. 12.,Česko,Ženy,2023,22,"Rozvedení, rozvedené",95
Počet obyvatel k 31. 12.,Česko,Ženy,2023,22,"Ovdovělí, ovdovělé",5
Počet obyvatel k 31. 12.,Česko,Ženy,2023,23,Celkem,50521
Počet obyvatel k 31. 12.,Česko,Ženy,2023,23,"Svobodní, svobodné",46421
Počet obyvatel k 31. 12.,Česko,Ženy,2023,23,"Ženatí, vdané",3937
Počet obyvatel k 31. 12.,Česko,Ženy,2023,23,"Rozvedení, rozvedené",159
Počet obyvatel k 31. 12.,Česko,Ženy,2023,23,"Ovdovělí, ovdovělé",4
Počet obyvatel k 31. 12.,Česko,Ženy,2023,24,Celkem,49800
Počet obyvatel k 31. 12.,Česko,Ženy,2023,24,"Svobodní, svobodné",43533
Počet obyvatel k 31. 12.,Česko,Ženy,2023,24,"Ženatí, vdané",5981
