Území,Roky,Ukazatel,Věkové skupiny,Pohlaví,value
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),Celkem,Celkem,697.10442482
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),Celkem,Ženy,232.86374551
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),Celkem,Muži,464.24067932
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),15 až 19,Celkem,2.0755901235
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),15 až 19,Ženy,0.7455188695
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),15 až 19,Muži,1.330071254
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),20 až 24,Celkem,19.795337232
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),20 až 24,Ženy,6.5381962078
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),20 až 24,Muži,13.257141024
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),25 až 29,Celkem,52.114326077
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),25 až 29,Ženy,15.127081905
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),25 až 29,Muži,36.987244172
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),30 až 34,Celkem,69.282112103
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),30 až 34,Ženy,20.278000347
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),30 až 34,Muži,49.004111756
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),35 až 39,Celkem,80.699986955
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),35 až 39,Ženy,25.979003646
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),35 až 39,Muži,54.720983309
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),40 až 44,Celkem,94.610132804
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),40 až 44,Ženy,30.900640039
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),40 až 44,Muži,63.709492765
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),45 až 49,Celkem,110.0589332
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),45 až 49,Ženy,37.143578716
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),45 až 49,Muži,72.915354485
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),50 až 54,Celkem,92.059642896
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),50 až 54,Ženy,30.941444016
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),50 až 54,Muži,61.11819888
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),55 až 59,Celkem,73.279380039
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),55 až 59,Ženy,29.474054295
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),55 až 59,Muži,43.805325745
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),60 až 64,Celkem,54.896255707
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),60 až 64,Ženy,18.564876676
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),60 až 64,Muži,36.331379031
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),65 a více let,Celkem,48.232727684
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),65 a více let,Ženy,17.171350789
Česko,2024,Podnikatelé bez pomáhajících rodinných příslušníků (tis. osob),65 a více let,Muži,31.061376894
