Kraje, SO ORP;Ekonomické subjekty ;Ukazatel;Roky;value
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2024;672224
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2023;655855
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2022;670392
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2021;658390
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2020;644586
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2019;632250
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2018;622377
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2017;606843
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2016;590338
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2015;573682
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2014;557736
Hlavní město Praha;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2013;540360
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2024;367010
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2023;357905
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2022;378661
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2021;372569
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2020;365001
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2019;357785
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2018;354857
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2017;348407
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2016;341460
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2015;335920
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2014;332364
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2013;307163
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2024;314789
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2023;307317
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2022;332296
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2021;328085
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2020;321948
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2019;316111
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2018;309886
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2017;303993
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2016;294130
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2015;287161
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2014;281455
Hlavní město Praha;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2013;272613
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2024;22655
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2023;22268
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2022;19078
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2021;18778
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2020;18101
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2019;18049
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2018;22649
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2017;22689
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2016;26138
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2015;28045
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2014;30315
Hlavní město Praha;Počet ekonomických subjektů v registru;Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství;2013;33877
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2024;1221
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2023;1204
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2022;1195
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2021;1153
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2020;1129
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2019;1080
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2018;1035
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2017;994
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2016;930
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2015;880
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2014;703
Hlavní město Praha;Počet ekonomických subjektů v registru;Zemědělský podnikatel - fyzická osoba ;2013;673
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2024;305214
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2023;297950
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2022;291731
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2021;285821
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2020;279585
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2019;274465
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2018;267520
Hlavní město Praha;Počet ekonomických subjektů v registru;Právnické osoby celkem;2017;258436
