Rok sčítání;Území;Ukazatel;value
2021;Česká republika;Počet seniorů celkem;2148048
2021;Česká republika;Senioři bydlící v bytech;2047430
2021;Česká republika;Senioři bydlící v zařízeních;71873
2021;Česká republika;Senioři bydlící mimo byty a zařízení;28266
2021;Česká republika;Senioři se základním vzděláním;302442
2021;Česká republika;Senioři s vysokoškolským vzděláním;241432
2021;Česká republika;Senioři věřící, hlásící se k církvi;475634
2021;Česká republika;Senioři věřící, nehlásící se k církvi;223504
2021;Česká republika;Senioři - rodáci;828973
2021;Česká republika;Senioři - pracující důchodci;263263
2021;Česká republika;Senioři - nepracující důchodci;1868477
2021;Hlavní město Praha;Počet seniorů celkem;238977
2021;Hlavní město Praha;Senioři bydlící v bytech;232258
2021;Hlavní město Praha;Senioři bydlící v zařízeních;5394
2021;Hlavní město Praha;Senioři bydlící mimo byty a zařízení;1241
2021;Hlavní město Praha;Senioři se základním vzděláním;14797
2021;Hlavní město Praha;Senioři s vysokoškolským vzděláním;58817
2021;Hlavní město Praha;Senioři věřící, hlásící se k církvi;40769
2021;Hlavní město Praha;Senioři věřící, nehlásící se k církvi;26083
2021;Hlavní město Praha;Senioři - rodáci;129290
2021;Hlavní město Praha;Senioři - pracující důchodci;49525
2021;Hlavní město Praha;Senioři - nepracující důchodci;184712
2021;Středočeský kraj;Počet seniorů celkem;266722
2021;Středočeský kraj;Senioři bydlící v bytech;251098
2021;Středočeský kraj;Senioři bydlící v zařízeních;9242
2021;Středočeský kraj;Senioři bydlící mimo byty a zařízení;6351
2021;Středočeský kraj;Senioři se základním vzděláním;35251
2021;Středočeský kraj;Senioři s vysokoškolským vzděláním;27647
2021;Středočeský kraj;Senioři věřící, hlásící se k církvi;37465
2021;Středočeský kraj;Senioři věřící, nehlásící se k církvi;24116
2021;Středočeský kraj;Senioři - rodáci;86462
2021;Středočeský kraj;Senioři - pracující důchodci;37392
2021;Středočeský kraj;Senioři - nepracující důchodci;227227
2021;Jihočeský kraj;Počet seniorů celkem;134580
2021;Jihočeský kraj;Senioři bydlící v bytech;128023
2021;Jihočeský kraj;Senioři bydlící v zařízeních;4735
2021;Jihočeský kraj;Senioři bydlící mimo byty a zařízení;1807
2021;Jihočeský kraj;Senioři se základním vzděláním;20024
2021;Jihočeský kraj;Senioři s vysokoškolským vzděláním;13109
2021;Jihočeský kraj;Senioři věřící, hlásící se k církvi;30294
2021;Jihočeský kraj;Senioři věřící, nehlásící se k církvi;15669
2021;Jihočeský kraj;Senioři - rodáci;45202
2021;Jihočeský kraj;Senioři - pracující důchodci;15658
2021;Jihočeský kraj;Senioři - nepracující důchodci;118274
2021;Plzeňský kraj;Počet seniorů celkem;120946
2021;Plzeňský kraj;Senioři bydlící v bytech;114495
2021;Plzeňský kraj;Senioři bydlící v zařízeních;3909
2021;Plzeňský kraj;Senioři bydlící mimo byty a zařízení;2536
2021;Plzeňský kraj;Senioři se základním vzděláním;16669
2021;Plzeňský kraj;Senioři s vysokoškolským vzděláním;11531
2021;Plzeňský kraj;Senioři věřící, hlásící se k církvi;17982
2021;Plzeňský kraj;Senioři věřící, nehlásící se k církvi;11112
2021;Plzeňský kraj;Senioři - rodáci;44860
2021;Plzeňský kraj;Senioři - pracující důchodci;15089
2021;Plzeňský kraj;Senioři - nepracující důchodci;105100
2021;Karlovarský kraj;Počet seniorů celkem;59381
2021;Karlovarský kraj;Senioři bydlící v bytech;56352
2021;Karlovarský kraj;Senioři bydlící v zařízeních;1797
2021;Karlovarský kraj;Senioři bydlící mimo byty a zařízení;1213
2021;Karlovarský kraj;Senioři se základním vzděláním;9872
2021;Karlovarský kraj;Senioři s vysokoškolským vzděláním;4494
2021;Karlovarský kraj;Senioři věřící, hlásící se k církvi;7535
2021;Karlovarský kraj;Senioři věřící, nehlásící se k církvi;5392
2021;Karlovarský kraj;Senioři - rodáci;14431
2021;Karlovarský kraj;Senioři - pracující důchodci;6984
2021;Karlovarský kraj;Senioři - nepracující důchodci;51677
2021;Ústecký kraj;Počet seniorů celkem;162386
2021;Ústecký kraj;Senioři bydlící v bytech;154197
2021;Ústecký kraj;Senioři bydlící v zařízeních;5699
2021;Ústecký kraj;Senioři bydlící mimo byty a zařízení;2443
2021;Ústecký kraj;Senioři se základním vzděláním;27912
2021;Ústecký kraj;Senioři s vysokoškolským vzděláním;11196
2021;Ústecký kraj;Senioři věřící, hlásící se k církvi;14319
2021;Ústecký kraj;Senioři věřící, nehlásící se k církvi;11827
2021;Ústecký kraj;Senioři - rodáci;50248
2021;Ústecký kraj;Senioři - pracující důchodci;17558
2021;Ústecký kraj;Senioři - nepracující důchodci;143488
2021;Liberecký kraj;Počet seniorů celkem;91158
2021;Liberecký kraj;Senioři bydlící v bytech;86675
2021;Liberecký kraj;Senioři bydlící v zařízeních;3315
2021;Liberecký kraj;Senioři bydlící mimo byty a zařízení;1145
2021;Liberecký kraj;Senioři se základním vzděláním;12737
2021;Liberecký kraj;Senioři s vysokoškolským vzděláním;8361
2021;Liberecký kraj;Senioři věřící, hlásící se k církvi;10455
2021;Liberecký kraj;Senioři věřící, nehlásící se k církvi;7930
2021;Liberecký kraj;Senioři - rodáci;28733
2021;Liberecký kraj;Senioři - pracující důchodci;10894
2021;Liberecký kraj;Senioři - nepracující důchodci;79787
2021;Královéhradecký kraj;Počet seniorů celkem;120426
2021;Královéhradecký kraj;Senioři bydlící v bytech;115556
2021;Královéhradecký kraj;Senioři bydlící v zařízeních;3730
