Území,Pohlaví,Měsíce,Ukazatel,value
Česko,Celkem,srpen 2025,Obecná míra nezaměstnanosti (%),3.138062626
Česko,Celkem,srpen 2025,Zaměstnaní (tis. osob),5045.0500089624
Česko,Celkem,srpen 2025,Pracovní síla ekonomicky aktivní (tis. osob),5208.4958712733
Česko,Celkem,srpen 2025,Míra ekonomické aktivity (%),78.0142063151
Česko,Celkem,červenec 2025,Obecná míra nezaměstnanosti (%),3.0766903246
Česko,Celkem,červenec 2025,Zaměstnaní (tis. osob),5049.9290470942
Česko,Celkem,červenec 2025,Pracovní síla ekonomicky aktivní (tis. osob),5210.2317430208
Česko,Celkem,červenec 2025,Míra ekonomické aktivity (%),78.0187413132
Česko,Celkem,červen 2025,Obecná míra nezaměstnanosti (%),3.0105882223
Česko,Celkem,červen 2025,Zaměstnaní (tis. osob),5057.3174853961
Česko,Celkem,červen 2025,Pracovní síla ekonomicky aktivní (tis. osob),5214.2985432135
Česko,Celkem,červen 2025,Míra ekonomické aktivity (%),78.0181435054
Česko,Celkem,květen 2025,Obecná míra nezaměstnanosti (%),2.922398236
Česko,Celkem,květen 2025,Zaměstnaní (tis. osob),5059.6555673027
Česko,Celkem,květen 2025,Pracovní síla ekonomicky aktivní (tis. osob),5211.970089253
Česko,Celkem,květen 2025,Míra ekonomické aktivity (%),77.990260594
Česko,Celkem,duben 2025,Obecná míra nezaměstnanosti (%),2.8258514553
Česko,Celkem,duben 2025,Zaměstnaní (tis. osob),5014.8014592447
Česko,Celkem,duben 2025,Pracovní síla ekonomicky aktivní (tis. osob),5160.6332901782
Česko,Celkem,duben 2025,Míra ekonomické aktivity (%),77.943639379
Česko,Celkem,březen 2025,Obecná míra nezaměstnanosti (%),2.752884036
Česko,Celkem,březen 2025,Zaměstnaní (tis. osob),5015.8571321898
Česko,Celkem,březen 2025,Pracovní síla ekonomicky aktivní (tis. osob),5157.8466697644
Česko,Celkem,březen 2025,Míra ekonomické aktivity (%),77.8943678039
Česko,Celkem,únor 2025,Obecná míra nezaměstnanosti (%),2.7137304621
Česko,Celkem,únor 2025,Zaměstnaní (tis. osob),5013.7676289143
Česko,Celkem,únor 2025,Pracovní síla ekonomicky aktivní (tis. osob),5153.6230680109
Česko,Celkem,únor 2025,Míra ekonomické aktivity (%),77.8352809228
Česko,Celkem,leden 2025,Obecná míra nezaměstnanosti (%),2.7139703064
Česko,Celkem,leden 2025,Zaměstnaní (tis. osob),5007.2295224333
Česko,Celkem,leden 2025,Pracovní síla ekonomicky aktivní (tis. osob),5146.915274685
Česko,Celkem,leden 2025,Míra ekonomické aktivity (%),77.7479286229
Česko,Celkem,prosinec 2024,Obecná míra nezaměstnanosti (%),2.7437025265
Česko,Celkem,prosinec 2024,Zaměstnaní (tis. osob),4917.1473406882
Česko,Celkem,prosinec 2024,Pracovní síla ekonomicky aktivní (tis. osob),5055.8652430985
