Ukazatel,Území,Typ financování zdravotní péče,Druh zdravotní péče,Roky,value
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2010,301598.984
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2011,306038.2784
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2012,310515.9865
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2013,310520.9778
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2014,330065.3232
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2015,339278.4772
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2016,354635.0311
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2017,375083.263
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2018,403659.5334
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2019,440931.6234
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2020,522797.6729
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2021,577424.9378
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Celkem,2022,597168.6159
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2010,149812.6541
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2011,151625.4295
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2012,153777.6487
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2013,154774.2337
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2014,166519.6889
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2015,171896.3099
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2016,180554.5516
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2017,190359.4537
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2018,205685.5383
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2019,225549.7065
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2020,274476.4227
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2021,293937.7301
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léčebná péče,2022,317237.8962
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2010,13126.64202
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2011,13632.97923
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2012,14450.46878
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2013,14454.78087
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2014,15762.15432
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2015,16346.14995
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2016,17282.6205
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2017,18572.72782
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2018,20553.63367
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2019,23398.98215
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2020,21763.53518
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2021,24648.67994
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Rehabilitační péče,2022,30595.41736
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2010,34447.99953
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2011,35199.88377
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2012,35230.79412
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2013,36342.83673
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2014,38576.22023
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2015,40712.31546
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2016,42985.10924
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2017,47339.50082
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2018,53382.02244
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2019,58855.57227
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2020,67102.53085
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2021,73254.42184
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Dlouhodobá zdravotní péče,2022,75916.50296
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2010,15694.01775
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2011,16127.19686
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2012,16356.07824
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2013,16377.47591
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2014,17280.80655
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2015,17925.60173
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2016,18863.14476
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2017,20198.37514
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2018,21731.37963
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2019,23839.94566
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2020,29199.17563
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2021,28149.84081
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Doplňkové služby,2022,28801.72143
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2010,67823.47671
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2011,69029.54801
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2012,70730.21455
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2013,68145.10255
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2014,69650.5797
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2015,70913.76317
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2016,72275.63545
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2017,73930.16397
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2018,76366.83399
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2019,80753.86283
Výdaje za zdravotní péči celkem (mil. Kč),Česko,Celkem,Léky a zdravotnické prostředky,2020,91912.35947
