Území;Institucionální sektor ;Právní forma;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2022;194873.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2021;189941.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2020;183879.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2019;183471.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2018;179205.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2017;175328.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2016;172454.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Celkem;2015;169171.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2022;191.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2021;202.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2020;194.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2019;193.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Podniky právnických osob;Počet aktivních podniků - zaměstnavatelů;Těžba a dobývání;2018;194.0
