Ukazatel;Rok sčítání;Území;Státní občanství;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Obyvatelstvo celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Česká republika;9998510
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Slovensko;95821
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Německo;5615
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Polsko;14450
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Ukrajina;150505
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Rusko;35785
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Vietnam;54256
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;29137
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Obyvatelstvo celkem;1301432
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Česká republika;1109566
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Slovensko;24239
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Německo;1702
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Polsko;2207
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Ukrajina;54408
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Rusko;23021
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Vietnam;12685
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Nezjištěno;11395
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Obyvatelstvo celkem;1415463
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Česká republika;1337760
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Slovensko;18373
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Německo;632
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Polsko;2227
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Ukrajina;26491
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Rusko;4244
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Vietnam;5740
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Nezjištěno;3132
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Obyvatelstvo celkem;631803
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Česká republika;611955
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Slovensko;3292
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Německo;307
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Polsko;322
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Ukrajina;6487
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Rusko;526
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Vietnam;3107
Počet obyvatel (obvyklý pobyt);2021;Jihočeský kraj;Nezjištěno;715
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Obyvatelstvo celkem;581436
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Česká republika;546497
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Slovensko;6505
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Německo;546
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Polsko;704
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Ukrajina;11412
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Rusko;558
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Vietnam;5336
Počet obyvatel (obvyklý pobyt);2021;Plzeňský kraj;Nezjištěno;2030
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Obyvatelstvo celkem;279103
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Česká republika;263148
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Slovensko;1773
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Německo;622
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Polsko;217
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Ukrajina;3397
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Rusko;1645
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Vietnam;4926
Počet obyvatel (obvyklý pobyt);2021;Karlovarský kraj;Nezjištěno;493
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Obyvatelstvo celkem;789098
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Česká republika;762366
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Slovensko;3939
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Německo;507
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Polsko;819
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Ukrajina;6839
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Rusko;1191
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Vietnam;6639
Počet obyvatel (obvyklý pobyt);2021;Ústecký kraj;Nezjištěno;707
Počet obyvatel (obvyklý pobyt);2021;Liberecký kraj;Obyvatelstvo celkem;435220
