Ukazatel,Území,Právní forma užívání bytu,Roky,value
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2013,6.92822
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2014,7.41401
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2015,7.00053
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2016,6.6
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2017,6.7
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2018,7.4
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2019,8.027
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2020,6.761
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2021,6.0
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2022,7.9
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2023,7.0
Podíl osob pod hranicí příjmové chudoby,Česko,Vlastnictví a bezplatné užívání,2024,6.1
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2013,16.87546
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2014,20.37663
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2015,22.19753
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2016,23.8
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2017,20.9
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2018,20.6
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2019,20.428
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2020,23.064
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2021,21.4
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2022,20.8
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2023,21.6
Podíl osob pod hranicí příjmové chudoby,Česko,Nájemní ,2024,23.3
