Území,Čtvrtletí,Ukazatel,Nejvyšší ukončené vzdělání,Pohlaví,value
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Základní ,Celkem,14.224838542
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Základní ,Ženy,13.555396228
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Základní ,Muži,14.863226131
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední bez maturity,Celkem,3.0765907226
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední bez maturity,Ženy,3.959211806
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední bez maturity,Muži,2.5692877052
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední s maturitou,Celkem,1.9995715309
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední s maturitou,Ženy,2.0967342111
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Střední s maturitou,Muži,1.9005860642
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Celkem,1.1007610897
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Ženy,1.4360613176
Česko,2. čtvrtletí 2025,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Muži,0.71690141
