Území;Roky;Ukazatel;Ekonomické subjekty ;value
Česko;2024;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2836017
Česko;2024;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1716200
Česko;2023;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2800294
Česko;2023;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1668516
Česko;2022;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2996841
Česko;2022;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1629262
Česko;2021;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2976264
Česko;2021;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1590149
Česko;2020;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2932963
Česko;2020;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1576331
Česko;2019;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2892452
Česko;2019;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1530749
Česko;2018;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2889422
Česko;2018;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1502560
Česko;2017;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2848672
Česko;2017;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1475207
Česko;2016;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2807532
Česko;2016;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1429680
Česko;2015;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2768953
Česko;2015;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1439747
Česko;2014;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2733459
Česko;2014;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1446293
Česko;2013;Počet ekonomických subjektů celkem;Počet ekonomických subjektů v registru;2694737
Česko;2013;Počet ekonomických subjektů celkem;Počet ekonomických subjektů se zjištěnou aktivitou ;1470929
