Území;Pohlaví;Ukazatel;Roky;value
Česko;Celkem;Celkem;2016;107750.0
Česko;Celkem;Celkem;2017;111443.0
Česko;Celkem;Celkem;2018;112920.0
Česko;Celkem;Celkem;2019;112362.0
Česko;Celkem;Celkem;2020;129289.0
Česko;Celkem;Celkem;2021;139891.0
Česko;Celkem;Celkem;2022;120219.0
Česko;Celkem;Celkem;2023;112795.0
Česko;Celkem;Celkem;2024;112211.0
Česko;Celkem;ve věku 0 let;2016;317.0
Česko;Celkem;ve věku 0 let;2017;304.0
Česko;Celkem;ve věku 0 let;2018;292.0
Česko;Celkem;ve věku 0 let;2019;288.0
Česko;Celkem;ve věku 0 let;2020;249.0
Česko;Celkem;ve věku 0 let;2021;246.0
Česko;Celkem;ve věku 0 let;2022;230.0
Česko;Celkem;ve věku 0 let;2023;200.0
Česko;Celkem;ve věku 0 let;2024;196.0
Česko;Celkem;ve věku 1 - 14 let;2016;166.0
Česko;Celkem;ve věku 1 - 14 let;2017;161.0
Česko;Celkem;ve věku 1 - 14 let;2018;162.0
Česko;Celkem;ve věku 1 - 14 let;2019;175.0
Česko;Celkem;ve věku 1 - 14 let;2020;148.0
Česko;Celkem;ve věku 1 - 14 let;2021;160.0
Česko;Celkem;ve věku 1 - 14 let;2022;167.0
Česko;Celkem;ve věku 1 - 14 let;2023;160.0
Česko;Celkem;ve věku 1 - 14 let;2024;
Česko;Celkem;ve věku 15- 44 let;2016;3184.0
Česko;Celkem;ve věku 15- 44 let;2017;3152.0
Česko;Celkem;ve věku 15- 44 let;2018;3246.0
Česko;Celkem;ve věku 15- 44 let;2019;3142.0
Česko;Celkem;ve věku 15- 44 let;2020;3177.0
Česko;Celkem;ve věku 15- 44 let;2021;3388.0
Česko;Celkem;ve věku 15- 44 let;2022;3146.0
Česko;Celkem;ve věku 15- 44 let;2023;3042.0
Česko;Celkem;ve věku 15- 44 let;2024;
Česko;Celkem;ve věku 45 - 64 let;2016;16417.0
Česko;Celkem;ve věku 45 - 64 let;2017;16329.0
Česko;Celkem;ve věku 45 - 64 let;2018;16034.0
Česko;Celkem;ve věku 45 - 64 let;2019;15651.0
Česko;Celkem;ve věku 45 - 64 let;2020;16471.0
Česko;Celkem;ve věku 45 - 64 let;2021;19105.0
Česko;Celkem;ve věku 45 - 64 let;2022;15421.0
Česko;Celkem;ve věku 45 - 64 let;2023;14518.0
Česko;Celkem;ve věku 45 - 64 let;2024;
Česko;Celkem;ve věku 65 - 74 let;2016;25534.0
Česko;Celkem;ve věku 65 - 74 let;2017;26465.0
Česko;Celkem;ve věku 65 - 74 let;2018;27138.0
Česko;Celkem;ve věku 65 - 74 let;2019;26518.0
Česko;Celkem;ve věku 65 - 74 let;2020;30045.0
Česko;Celkem;ve věku 65 - 74 let;2021;34612.0
Česko;Celkem;ve věku 65 - 74 let;2022;27073.0
Česko;Celkem;ve věku 65 - 74 let;2023;24846.0
Česko;Celkem;ve věku 65 - 74 let;2024;
Česko;Celkem;ve věku 75 - 84 let;2016;30501.0
Česko;Celkem;ve věku 75 - 84 let;2017;31211.0
Česko;Celkem;ve věku 75 - 84 let;2018;31667.0
Česko;Celkem;ve věku 75 - 84 let;2019;32316.0
Česko;Celkem;ve věku 75 - 84 let;2020;39348.0
Česko;Celkem;ve věku 75 - 84 let;2021;43444.0
Česko;Celkem;ve věku 75 - 84 let;2022;38399.0
Česko;Celkem;ve věku 75 - 84 let;2023;37202.0
Česko;Celkem;ve věku 75 - 84 let;2024;
Česko;Celkem;ve věku 85 a více let;2016;31631.0
Česko;Celkem;ve věku 85 a více let;2017;33821.0
Česko;Celkem;ve věku 85 a více let;2018;34381.0
Česko;Celkem;ve věku 85 a více let;2019;34272.0
Česko;Celkem;ve věku 85 a více let;2020;39851.0
Česko;Celkem;ve věku 85 a více let;2021;38936.0
Česko;Celkem;ve věku 85 a více let;2022;35783.0
Česko;Celkem;ve věku 85 a více let;2023;32827.0
Česko;Celkem;ve věku 85 a více let;2024;
Česko;Celkem;Kojenecká úmrtnost;2016;2.813701038
Česko;Celkem;Kojenecká úmrtnost;2017;2.65722652
Česko;Celkem;Kojenecká úmrtnost;2018;2.5605949
Česko;Celkem;Kojenecká úmrtnost;2019;2.566135916
Česko;Celkem;Kojenecká úmrtnost;2020;2.259528131
Česko;Celkem;Kojenecká úmrtnost;2021;2.200495559
Česko;Celkem;Kojenecká úmrtnost;2022;2.270506125
Česko;Celkem;Kojenecká úmrtnost;2023;2.194209481
Česko;Celkem;Kojenecká úmrtnost;2024;2.3247263109
