Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Česko,Narození,37544.0
Q1-Q2 2025,Česko,Živě narození,37435.0
Q1-Q2 2025,Česko,Živě narození - chlapci,19177.0
Q1-Q2 2025,Česko,Živě narození - dívky,18258.0
Q1-Q2 2025,Česko,Pořadí dítěte 1.,17199.0
Q1-Q2 2025,Česko,Pořadí dítěte 2.,14750.0
Q1-Q2 2025,Česko,Pořadí dítěte 3. a vyšší,5486.0
Q1-Q2 2025,Česko,Živě narození v manželství,19743.0
Q1-Q2 2025,Česko,Živě narození mimo manželství,17692.0
Q1-Q2 2025,Česko,Podíl živě narozených mimo manželství (%),47.26058501
Q1-Q2 2025,Česko,Mrtvě narození,109.0
Q1-Q2 2025,Hlavní město Praha,Narození,5268.0
Q1-Q2 2025,Hlavní město Praha,Živě narození,5254.0
Q1-Q2 2025,Hlavní město Praha,Živě narození - chlapci,2689.0
Q1-Q2 2025,Hlavní město Praha,Živě narození - dívky,2565.0
Q1-Q2 2025,Hlavní město Praha,Pořadí dítěte 1.,2922.0
Q1-Q2 2025,Hlavní město Praha,Pořadí dítěte 2.,1865.0
Q1-Q2 2025,Hlavní město Praha,Pořadí dítěte 3. a vyšší,467.0
Q1-Q2 2025,Hlavní město Praha,Živě narození v manželství,3256.0
Q1-Q2 2025,Hlavní město Praha,Živě narození mimo manželství,1998.0
Q1-Q2 2025,Hlavní město Praha,Podíl živě narozených mimo manželství (%),38.02816901
Q1-Q2 2025,Hlavní město Praha,Mrtvě narození,14.0
Q1-Q2 2025,Středočeský kraj,Narození,4920.0
Q1-Q2 2025,Středočeský kraj,Živě narození,4901.0
Q1-Q2 2025,Středočeský kraj,Živě narození - chlapci,2490.0
Q1-Q2 2025,Středočeský kraj,Živě narození - dívky,2411.0
Q1-Q2 2025,Středočeský kraj,Pořadí dítěte 1.,2210.0
Q1-Q2 2025,Středočeský kraj,Pořadí dítěte 2.,2001.0
Q1-Q2 2025,Středočeský kraj,Pořadí dítěte 3. a vyšší,690.0
Q1-Q2 2025,Středočeský kraj,Živě narození v manželství,2640.0
Q1-Q2 2025,Středočeský kraj,Živě narození mimo manželství,2261.0
Q1-Q2 2025,Středočeský kraj,Podíl živě narozených mimo manželství (%),46.13344215
Q1-Q2 2025,Středočeský kraj,Mrtvě narození,19.0
Q1-Q2 2025,Jihočeský kraj,Narození,2262.0
Q1-Q2 2025,Jihočeský kraj,Živě narození,2258.0
Q1-Q2 2025,Jihočeský kraj,Živě narození - chlapci,1155.0
Q1-Q2 2025,Jihočeský kraj,Živě narození - dívky,1103.0
