Roky;Území;Ukazatel;Pohlaví;value
2023;Česko;Zaměstnaní celkem (tis. osob);ženy;2224.5219296
2023;Česko;Zaměstnaní celkem (tis. osob);muži;2836.3236179
2023;Česko;Nezaměstnaní (tis. osob);ženy;69.925013073
2023;Česko;Nezaměstnaní (tis. osob);muži;64.076515385
2023;Česko;Ekonomicky neaktivní (tis. osob);ženy;2139.4839318
2023;Česko;Ekonomicky neaktivní (tis. osob);muži;1331.2740064
2023;Česko;Míra ekonomické aktivity (%);ženy;51.747467601
2023;Česko;Míra ekonomické aktivity (%);muži;68.540252334
2023;Hlavní město Praha;Zaměstnaní celkem (tis. osob);ženy;300.63452823
2023;Hlavní město Praha;Zaměstnaní celkem (tis. osob);muži;371.88087842
2023;Hlavní město Praha;Nezaměstnaní (tis. osob);ženy;6.270398617
2023;Hlavní město Praha;Nezaměstnaní (tis. osob);muži;7.8123185753
2023;Hlavní město Praha;Ekonomicky neaktivní (tis. osob);ženy;216.57029306
2023;Hlavní město Praha;Ekonomicky neaktivní (tis. osob);muži;139.70458278
2023;Hlavní město Praha;Míra ekonomické aktivity (%);ženy;58.628358167
2023;Hlavní město Praha;Míra ekonomické aktivity (%);muži;73.102583757
2023;Středočeský kraj;Zaměstnaní celkem (tis. osob);ženy;288.09827637
2023;Středočeský kraj;Zaměstnaní celkem (tis. osob);muži;381.16006695
2023;Středočeský kraj;Nezaměstnaní (tis. osob);ženy;7.1526741173
2023;Středočeský kraj;Nezaměstnaní (tis. osob);muži;4.433878176
2023;Středočeský kraj;Ekonomicky neaktivní (tis. osob);ženy;277.23181003
2023;Středočeský kraj;Ekonomicky neaktivní (tis. osob);muži;163.9312953
2023;Středočeský kraj;Míra ekonomické aktivity (%);ženy;51.573771448
2023;Středočeský kraj;Míra ekonomické aktivity (%);muži;70.168559468
2023;Jihočeský kraj;Zaměstnaní celkem (tis. osob);ženy;131.20254595
2023;Jihočeský kraj;Zaměstnaní celkem (tis. osob);muži;171.12263893
2023;Jihočeský kraj;Nezaměstnaní (tis. osob);ženy;3.5288193453
2023;Jihočeský kraj;Nezaměstnaní (tis. osob);muži;1.7626977448
2023;Jihočeský kraj;Ekonomicky neaktivní (tis. osob);ženy;140.4302089
2023;Jihočeský kraj;Ekonomicky neaktivní (tis. osob);muži;84.226433497
2023;Jihočeský kraj;Míra ekonomické aktivity (%);ženy;48.964455043
2023;Jihočeský kraj;Míra ekonomické aktivity (%);muži;67.241315542
2023;Plzeňský kraj;Zaměstnaní celkem (tis. osob);ženy;123.60454691
2023;Plzeňský kraj;Zaměstnaní celkem (tis. osob);muži;161.96298056
2023;Plzeňský kraj;Nezaměstnaní (tis. osob);ženy;3.365790397
2023;Plzeňský kraj;Nezaměstnaní (tis. osob);muži;2.6124588715
