Území;Kategorie;Čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet hostů;Celkem;4147993.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet hostů;Rezidenti;2177413.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet hostů;Nerezidenti;1970580.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet přenocování;Celkem;10547743.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet přenocování;Rezidenti;5545325.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Počet přenocování;Nerezidenti;5002418.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Průměrný počet přenocování ;Celkem;2.5428545805
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Průměrný počet přenocování ;Rezidenti;2.5467492846
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2025;Průměrný počet přenocování ;Nerezidenti;2.5385510865
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet hostů;Celkem;4994524.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet hostů;Rezidenti;2402620.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet hostů;Nerezidenti;2591904.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet přenocování;Celkem;11699211.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet přenocování;Rezidenti;5352275.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Počet přenocování;Nerezidenti;6346936.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Průměrný počet přenocování ;Celkem;2.3424076048
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Průměrný počet přenocování ;Rezidenti;2.2276826964
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Průměrný počet přenocování ;Nerezidenti;2.4487542748
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet hostů;Celkem;7744734.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet hostů;Rezidenti;4569374.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet hostů;Nerezidenti;3175360.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet přenocování;Celkem;21000458.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet přenocování;Rezidenti;13230571.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Počet přenocování;Nerezidenti;7769887.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Průměrný počet přenocování ;Celkem;2.7115789903
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Průměrný počet přenocování ;Rezidenti;2.8954887475
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Průměrný počet přenocování ;Nerezidenti;2.4469310566
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet hostů;Celkem;5981234.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet hostů;Rezidenti;3205615.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet hostů;Nerezidenti;2775619.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet přenocování;Celkem;14050225.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet přenocování;Rezidenti;7586656.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Počet přenocování;Nerezidenti;6463569.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Průměrný počet přenocování ;Celkem;2.3490512159
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Průměrný počet přenocování ;Rezidenti;2.3666772211
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2024;Průměrný počet přenocování ;Nerezidenti;2.3286946083
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet hostů;Celkem;4089103.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet hostů;Rezidenti;2154458.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet hostů;Nerezidenti;1934645.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet přenocování;Celkem;10486190.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet přenocování;Rezidenti;5592471.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Počet přenocování;Nerezidenti;4893719.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Průměrný počet přenocování ;Celkem;2.5644230532
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Průměrný počet přenocování ;Rezidenti;2.5957670096
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2024;Průměrný počet přenocování ;Nerezidenti;2.5295178185
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet hostů;Celkem;4657774.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet hostů;Rezidenti;2319269.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet hostů;Nerezidenti;2338505.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet přenocování;Celkem;10931735.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet přenocování;Rezidenti;5206547.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Počet přenocování;Nerezidenti;5725188.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Průměrný počet přenocování ;Celkem;2.3469869942
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Průměrný počet přenocování ;Rezidenti;2.2449086328
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2023;Průměrný počet přenocování ;Nerezidenti;2.4482256826
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet hostů;Celkem;7811628.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet hostů;Rezidenti;4768108.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet hostů;Nerezidenti;3043520.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet přenocování;Celkem;21306139.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet přenocování;Rezidenti;13920135.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Počet přenocování;Nerezidenti;7386004.0
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Průměrný počet přenocování ;Celkem;2.7274902235
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Průměrný počet přenocování ;Rezidenti;2.9194252731
Česko;Hromadná ubytovací zařízení celkem;3. čtvrtletí 2023;Průměrný počet přenocování ;Nerezidenti;2.4267966039
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet hostů;Celkem;5763974.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet hostů;Rezidenti;3232106.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet hostů;Nerezidenti;2531868.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet přenocování;Celkem;13800081.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet přenocování;Rezidenti;7746192.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Počet přenocování;Nerezidenti;6053889.0
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Průměrný počet přenocování ;Celkem;2.3941955672
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Průměrný počet přenocování ;Rezidenti;2.3966392191
Česko;Hromadná ubytovací zařízení celkem;2. čtvrtletí 2023;Průměrný počet přenocování ;Nerezidenti;2.3910760751
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet hostů;Celkem;3744295.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet hostů;Rezidenti;2099258.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet hostů;Nerezidenti;1645037.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet přenocování;Celkem;9804516.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet přenocování;Rezidenti;5607988.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Počet přenocování;Nerezidenti;4196528.0
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Průměrný počet přenocování ;Celkem;2.6185212437
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Průměrný počet přenocování ;Rezidenti;2.6714143759
Česko;Hromadná ubytovací zařízení celkem;1. čtvrtletí 2023;Průměrný počet přenocování ;Nerezidenti;2.5510234724
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet hostů;Celkem;4291571.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet hostů;Rezidenti;2293747.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet hostů;Nerezidenti;1997824.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet přenocování;Celkem;10253252.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet přenocování;Rezidenti;5317692.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Počet přenocování;Nerezidenti;4935560.0
Česko;Hromadná ubytovací zařízení celkem;4. čtvrtletí 2022;Průměrný počet přenocování ;Celkem;2.3891605195
