Území;Ukazatel;Pohlaví;Roky;value
Česko;Kandidáti;ženy;1996;
Česko;Kandidáti;ženy;1998;
Česko;Kandidáti;ženy;2002;
Česko;Kandidáti;ženy;2006;
Česko;Kandidáti;ženy;2010;
Česko;Kandidáti;ženy;2013;1588.0
Česko;Kandidáti;ženy;2017;2154.0
Česko;Kandidáti;ženy;2021;1658.0
Česko;Kandidáti;muži;1996;
Česko;Kandidáti;muži;1998;
Česko;Kandidáti;muži;2002;
Česko;Kandidáti;muži;2006;
Česko;Kandidáti;muži;2010;
Česko;Kandidáti;muži;2013;4311.0
Česko;Kandidáti;muži;2017;5370.0
Česko;Kandidáti;muži;2021;3585.0
Česko;Průměrný věk kandidátů (roky);ženy;1996;47.58
Česko;Průměrný věk kandidátů (roky);ženy;1998;47.23
Česko;Průměrný věk kandidátů (roky);ženy;2002;43.48
Česko;Průměrný věk kandidátů (roky);ženy;2006;44.44
Česko;Průměrný věk kandidátů (roky);ženy;2010;44.97
Česko;Průměrný věk kandidátů (roky);ženy;2013;45.5
Česko;Průměrný věk kandidátů (roky);ženy;2017;46.41
Česko;Průměrný věk kandidátů (roky);ženy;2021;48.37
Česko;Průměrný věk kandidátů (roky);muži;1996;47.33
Česko;Průměrný věk kandidátů (roky);muži;1998;47.19
Česko;Průměrný věk kandidátů (roky);muži;2002;45.7
Česko;Průměrný věk kandidátů (roky);muži;2006;46.6
Česko;Průměrný věk kandidátů (roky);muži;2010;46.38
Česko;Průměrný věk kandidátů (roky);muži;2013;45.68
Česko;Průměrný věk kandidátů (roky);muži;2017;46.47
Česko;Průměrný věk kandidátů (roky);muži;2021;49.18
Česko;Zvolení poslanci;ženy;1996;
Česko;Zvolení poslanci;ženy;1998;
Česko;Zvolení poslanci;ženy;2002;
Česko;Zvolení poslanci;ženy;2006;
Česko;Zvolení poslanci;ženy;2010;
Česko;Zvolení poslanci;ženy;2013;39.0
Česko;Zvolení poslanci;ženy;2017;44.0
Česko;Zvolení poslanci;ženy;2021;50.0
Česko;Zvolení poslanci;muži;1996;
Česko;Zvolení poslanci;muži;1998;
Česko;Zvolení poslanci;muži;2002;
Česko;Zvolení poslanci;muži;2006;
Česko;Zvolení poslanci;muži;2010;
Česko;Zvolení poslanci;muži;2013;161.0
Česko;Zvolení poslanci;muži;2017;156.0
Česko;Zvolení poslanci;muži;2021;150.0
Česko;Průměrný věk zvolených poslanců (roky);ženy;1996;43.2
Česko;Průměrný věk zvolených poslanců (roky);ženy;1998;43.8
Česko;Průměrný věk zvolených poslanců (roky);ženy;2002;46.12
Česko;Průměrný věk zvolených poslanců (roky);ženy;2006;46.9
Česko;Průměrný věk zvolených poslanců (roky);ženy;2010;45.55
Česko;Průměrný věk zvolených poslanců (roky);ženy;2013;48.59
Česko;Průměrný věk zvolených poslanců (roky);ženy;2017;46.61
Česko;Průměrný věk zvolených poslanců (roky);ženy;2021;48.1
Česko;Průměrný věk zvolených poslanců (roky);muži;1996;43.95
Česko;Průměrný věk zvolených poslanců (roky);muži;1998;45.45
Česko;Průměrný věk zvolených poslanců (roky);muži;2002;47.02
Česko;Průměrný věk zvolených poslanců (roky);muži;2006;48.08
Česko;Průměrný věk zvolených poslanců (roky);muži;2010;47.68
Česko;Průměrný věk zvolených poslanců (roky);muži;2013;50.27
Česko;Průměrný věk zvolených poslanců (roky);muži;2017;47.74
Česko;Průměrný věk zvolených poslanců (roky);muži;2021;50.41
