Ukazatel,Území,Roky,Druh domu,Ekonomická aktivita osoby v čele domácnosti,value
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Celkem,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Zaměstnanci ,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Samostatně činní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Důchodci,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Nezaměstnaní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Rodinný dům,Ostatní domácnosti,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Celkem,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Zaměstnanci ,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Samostatně činní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Důchodci,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Nezaměstnaní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,Bytový dům,Ostatní domácnosti,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Celkem,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Zaměstnanci ,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Samostatně činní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Důchodci,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Nezaměstnaní,
Podíl hospodařících domácností podle druhu domu (%),Česko,2024,"Jiná budova, nezjištěno ",Ostatní domácnosti,
