Ukazatel;Území;Pohlaví;Roky;Věk (roky);Rodinný stav;value
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Celkem;10909500
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Svobodní, svobodné;4818250
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Ženatí, vdané;4104623
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Rozvedení, rozvedené;1259381
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Ovdovělí, ovdovělé;727246
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Celkem;84705
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Svobodní, svobodné;84705
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1;Celkem;92666
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1;Svobodní, svobodné;92666
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;2;Celkem;103658
Počet obyvatel k 31. 12.;Česko;Celkem;2024;2;Svobodní, svobodné;103658
Počet obyvatel k 31. 12.;Česko;Celkem;2024;2;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;2;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;2;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;3;Celkem;116655
Počet obyvatel k 31. 12.;Česko;Celkem;2024;3;Svobodní, svobodné;116655
Počet obyvatel k 31. 12.;Česko;Celkem;2024;3;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;3;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;3;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;4;Celkem;113374
Počet obyvatel k 31. 12.;Česko;Celkem;2024;4;Svobodní, svobodné;113374
Počet obyvatel k 31. 12.;Česko;Celkem;2024;4;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;4;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;4;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5;Celkem;115985
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5;Svobodní, svobodné;115985
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;6;Celkem;118603
Počet obyvatel k 31. 12.;Česko;Celkem;2024;6;Svobodní, svobodné;118603
Počet obyvatel k 31. 12.;Česko;Celkem;2024;6;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;6;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;6;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;7;Celkem;119643
Počet obyvatel k 31. 12.;Česko;Celkem;2024;7;Svobodní, svobodné;119643
Počet obyvatel k 31. 12.;Česko;Celkem;2024;7;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;7;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;7;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;8;Celkem;119355
Počet obyvatel k 31. 12.;Česko;Celkem;2024;8;Svobodní, svobodné;119355
Počet obyvatel k 31. 12.;Česko;Celkem;2024;8;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;8;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;8;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;9;Celkem;117586
Počet obyvatel k 31. 12.;Česko;Celkem;2024;9;Svobodní, svobodné;117586
Počet obyvatel k 31. 12.;Česko;Celkem;2024;9;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;9;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;9;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10;Celkem;117341
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10;Svobodní, svobodné;117341
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;11;Celkem;114526
Počet obyvatel k 31. 12.;Česko;Celkem;2024;11;Svobodní, svobodné;114526
Počet obyvatel k 31. 12.;Česko;Celkem;2024;11;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;11;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;11;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;12;Celkem;116546
Počet obyvatel k 31. 12.;Česko;Celkem;2024;12;Svobodní, svobodné;116546
