Roky;ČR a kraje;Ukazatel;value
2023;Česko;Podíl nezaměstnaných osob - celkem (%);3.7308018
2023;Hlavní město Praha;Podíl nezaměstnaných osob - celkem (%);2.80275023
2023;Středočeský kraj;Podíl nezaměstnaných osob - celkem (%);3.17334535
2023;Jihočeský kraj;Podíl nezaměstnaných osob - celkem (%);3.11590502
2023;Plzeňský kraj;Podíl nezaměstnaných osob - celkem (%);2.89671566
2023;Karlovarský kraj;Podíl nezaměstnaných osob - celkem (%);4.37981518
2023;Ústecký kraj;Podíl nezaměstnaných osob - celkem (%);5.66420671
2023;Liberecký kraj;Podíl nezaměstnaných osob - celkem (%);3.92609373
2023;Královéhradecký kraj;Podíl nezaměstnaných osob - celkem (%);3.19064226
2023;Pardubický kraj;Podíl nezaměstnaných osob - celkem (%);3.09807934
2023;Kraj Vysočina;Podíl nezaměstnaných osob - celkem (%);3.04810292
2023;Jihomoravský kraj;Podíl nezaměstnaných osob - celkem (%);4.36544567
2023;Olomoucký kraj;Podíl nezaměstnaných osob - celkem (%);3.80892495
2023;Zlínský kraj;Podíl nezaměstnaných osob - celkem (%);2.87662272
2023;Moravskoslezský kraj;Podíl nezaměstnaných osob - celkem (%);5.22931859
