Ukazatel,Rok sčítání,Území,Státní občanství,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo celkem,Celkem,10524167
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo celkem,Ženy,5337619
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo celkem,Muži,5186548
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,162846
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,73819
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,89027
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,215314
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,98040
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,117274
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,118090
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,53054
Počet obyvatel (obvyklý pobyt),2021,Česká republika,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,65036
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo celkem,Celkem,1301432
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo celkem,Ženy,667983
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo celkem,Muži,633449
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,46333
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,21205
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,25128
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Celkem,89141
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Ženy,43613
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím z ostatních evropských zemí,Muži,45528
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Celkem,44913
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Ženy,20553
Počet obyvatel (obvyklý pobyt),2021,Hlavní město Praha,Obyvatelstvo s cizím státním občanstvím ze zemí mimo Evropu,Muži,24360
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo celkem,Celkem,1415463
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo celkem,Ženy,712922
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo celkem,Muži,702541
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Celkem,27691
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Ženy,12349
Počet obyvatel (obvyklý pobyt),2021,Středočeský kraj,Obyvatelstvo s cizím státním občanstvím ze zemí EU,Muži,15342
