ČR a kraje,Ukazatel,Pohlaví,Klasifikace zaměstnání (CZISCO),Roky,value
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2024,5192.4172583
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2023,5060.8455475
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2022,5173.4809151
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2021,5213.368902525
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2020,5234.9373771
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2019,5303.096309425
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2018,5293.7887506
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2017,5221.604795425
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2016,5138.577945525
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2015,5041.9025892225
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2014,4974.2949243675
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2013,4937.0837664125
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2012,4890.0533046025
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2011,4872.406288355
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2010,4885.23938857002
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2009,4934.26802131305
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2008,5002.49725271045
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2007,4921.99271230118
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2006,4828.06495215397
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2005,4764.01578891898
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2004,4706.62698308102
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2003,4733.18197658862
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2002,4764.91473416681
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2001,4727.69242236262
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2000,4731.60295060916
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1999,4764.099031025
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1998,4865.73666342501
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1997,4936.52549404997
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1996,4971.99141295001
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1995,4962.57802977494
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1994,4926.76648345
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1993,4873.54198795002
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2024,20.752220366
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2023,17.231383393
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2022,16.0877869
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2021,16.114356775
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2020,25.24782055
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2019,16.7911416
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2018,15.2280063
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2017,16.599076275
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2016,14.41470745
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2015,14.37074487
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2014,17.7402248175
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2013,16.6688385825
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2012,18.2870640125
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2011,15.4876488925
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2010,14.78065615335
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2009,14.5475174311368
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2008,16.1063914508033
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2007,14.2461537005576
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2006,16.8025006038147
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2005,14.7688775338385
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2004,22.6697184508856
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2003,35.6713724957859
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2002,34.9540997313129
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2001,43.3203695263243
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,2000,56.1031708622811
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1999,55.2550491292378
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1998,48.0621997874074
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1997,52.193921009045
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1996,57.5028951340176
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1995,54.6690822270329
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1994,63.957697291361
Česko,Zaměstnaní (tis. osob),Celkem,Zaměstnanci v ozbrojených silách,1993,71.1801282103445
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2024,268.61906736
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2023,262.12084733
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2022,265.843618325
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2021,263.7607121
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2020,224.30769275
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2019,237.612233925
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2018,244.995727275
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2017,250.210491475
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2016,269.135659575
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2015,274.297072755
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2014,256.552071535
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2013,271.3075194825
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2012,250.6290849175
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2011,230.75584427
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2010,261.1797973263
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2009,257.598827795562
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2008,285.529693014202
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2007,279.273538442
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2006,270.515566946326
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2005,253.538398363228
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2004,249.855134443188
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2003,244.627852211879
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2002,257.14453894474
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2001,255.065231508154
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,2000,246.80158249639
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1999,261.453187167637
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1998,270.296479180309
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1997,273.318225510933
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1996,276.539493972903
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1995,258.130916893541
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1994,220.415015414575
Česko,Zaměstnaní (tis. osob),Celkem,Zákonodárci a řídící pracovníci,1993,191.946922605551
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2024,1074.920154
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2023,997.48771616
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2022,957.351791625
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2021,973.480107774999
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2020,886.634172275
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2019,854.696062175
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2018,851.46396855
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2017,802.546409450001
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2016,786.5580681
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2015,763.626368712499
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2014,745.994557462501
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2013,715.7313181575
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2012,675.8733045375
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2011,616.572492579999
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2010,518.471083045375
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2009,622.248043100462
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2008,591.009407113537
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2007,580.951745530203
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2006,558.111679596939
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2005,561.462357807686
Česko,Zaměstnaní (tis. osob),Celkem,Specialisté,2004,543.67144941347
