Kraje;Ukazatel;Roky;value
Hlavní město Praha;Počet obyvatel - celkem;2025;1392307.19438828
Hlavní město Praha;Počet obyvatel - celkem;2026;1388069.67428263
Hlavní město Praha;Počet obyvatel - celkem;2027;1383896.12342643
Hlavní město Praha;Počet obyvatel - celkem;2028;1379800.81254149
Hlavní město Praha;Počet obyvatel - celkem;2029;1389926.5403475
Hlavní město Praha;Počet obyvatel - celkem;2030;1400357.20201328
Hlavní město Praha;Počet obyvatel - celkem;2031;1411110.64564294
Hlavní město Praha;Počet obyvatel - celkem;2032;1421976.8460553
Hlavní město Praha;Počet obyvatel - celkem;2033;1432975.62382207
Hlavní město Praha;Počet obyvatel - celkem;2034;1444121.95875915
Hlavní město Praha;Počet obyvatel - celkem;2035;1455428.3285222
Hlavní město Praha;Počet obyvatel - celkem;2036;1466903.07702034
Hlavní město Praha;Počet obyvatel - celkem;2037;1478549.71376573
Hlavní město Praha;Počet obyvatel - celkem;2038;1490370.29887511
Hlavní město Praha;Počet obyvatel - celkem;2039;1502362.1937758
Hlavní město Praha;Počet obyvatel - celkem;2040;1514515.45361909
Hlavní město Praha;Počet obyvatel - celkem;2041;1526815.08572009
Hlavní město Praha;Počet obyvatel - celkem;2042;1539241.47630812
Hlavní město Praha;Počet obyvatel - celkem;2043;1551771.67547078
Hlavní město Praha;Počet obyvatel - celkem;2044;1564379.67265038
Hlavní město Praha;Počet obyvatel - celkem;2045;1577037.24276948
Hlavní město Praha;Počet obyvatel - celkem;2046;1589714.63661731
Hlavní město Praha;Počet obyvatel - celkem;2047;1602380.04108756
Hlavní město Praha;Počet obyvatel - celkem;2048;1614998.48163297
Hlavní město Praha;Počet obyvatel - celkem;2049;1627532.78980018
Hlavní město Praha;Počet obyvatel - celkem;2050;1639946.71811294
Hlavní město Praha;Počet obyvatel - celkem;2051;1652206.17909358
Hlavní město Praha;Počet obyvatel - celkem;2052;1664264.04267584
Hlavní město Praha;Počet obyvatel - celkem;2053;1676089.06659119
Hlavní město Praha;Počet obyvatel - celkem;2054;1687653.83331321
Hlavní město Praha;Počet obyvatel - celkem;2055;1698939.24849189
Hlavní město Praha;Počet obyvatel - celkem;2056;1709936.86591261
Hlavní město Praha;Počet obyvatel - celkem;2057;1720649.18615551
Hlavní město Praha;Počet obyvatel - celkem;2058;1731088.06373102
Hlavní město Praha;Počet obyvatel - celkem;2059;1741273.88344066
Hlavní město Praha;Počet obyvatel - celkem;2060;1751232.46278331
Hlavní město Praha;Počet obyvatel - celkem;2061;1760992.48064711
Hlavní město Praha;Počet obyvatel - celkem;2062;1770578.96994446
Hlavní město Praha;Počet obyvatel - celkem;2063;1780018.56736486
Hlavní město Praha;Počet obyvatel - celkem;2064;1789335.97587039
Hlavní město Praha;Počet obyvatel - celkem;2065;1798553.61880898
Hlavní město Praha;Počet obyvatel - celkem;2066;1807690.74623708
Hlavní město Praha;Počet obyvatel - celkem;2067;1816762.78032829
Hlavní město Praha;Počet obyvatel - celkem;2068;1825782.98289047
Hlavní město Praha;Počet obyvatel - celkem;2069;1834763.5371637
Hlavní město Praha;Počet obyvatel - celkem;2070;1843717.08231729
Hlavní město Praha;Počet obyvatel - celkem;2071;1852657.62859373
Hlavní město Praha;Počet obyvatel - celkem;2072;1861599.26976592
Hlavní město Praha;Počet obyvatel - celkem;2073;1870556.11578568
Hlavní město Praha;Počet obyvatel - celkem;2074;1879541.76287372
Hlavní město Praha;Počet obyvatel - celkem;2075;1888566.44824049
Hlavní město Praha;Počet obyvatel - celkem;2076;1897634.28182986
Hlavní město Praha;Počet obyvatel - celkem;2077;1906742.67838998
Hlavní město Praha;Počet obyvatel - celkem;2078;1915882.32883388
Hlavní město Praha;Počet obyvatel - celkem;2079;1925038.09573793
Hlavní město Praha;Počet obyvatel - celkem;2080;1934190.8598442
Hlavní město Praha;Počet obyvatel - celkem;2081;1943319.63198751
Hlavní město Praha;Počet obyvatel - muži;2025;676088.919930686
Hlavní město Praha;Počet obyvatel - muži;2026;676079.508239772
Hlavní město Praha;Počet obyvatel - muži;2027;676087.811596166
Hlavní město Praha;Počet obyvatel - muži;2028;676118.942088291
Hlavní město Praha;Počet obyvatel - muži;2029;682514.606621031
Hlavní město Praha;Počet obyvatel - muži;2030;689048.707962932
Hlavní město Praha;Počet obyvatel - muži;2031;695726.83750372
