Ukazatel;Území;Věk;Roky;value
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2013;11.27845
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2014;14.66338
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2015;14.69393
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2016;14.1
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2017;11.6
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2018;11.0
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2019;11.241
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2020;11.094
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2021;11.4
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2022;11.8
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2023;12.4
Podíl osob pod hranicí příjmové chudoby;Česko;do 18 let;2024;13.9
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2013;8.57896
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2014;9.0666
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2015;8.98176
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2016;8.8
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2017;7.9
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2018;7.7
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2019;7.759
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2020;7.253
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2021;7.0
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2022;7.7
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2023;7.4
Podíl osob pod hranicí příjmové chudoby;Česko;18-64;2024;8.5
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2013;5.79733
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2014;6.97749
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2015;7.44076
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2016;8.1
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2017;10.7
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2018;14.2
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2019;16.571
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2020;14.744
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2021;10.5
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2022;16.0
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2023;14.3
Podíl osob pod hranicí příjmové chudoby;Česko;65 a více;2024;8.3
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2013;11.3987
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2014;10.66433
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2015;11.075
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2016;12.8
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2017;11.2
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2018;10.3
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2019;9.429
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2020;9.091
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2021;8.5
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2022;10.3
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2023;11.7
Podíl osob pod hranicí příjmové chudoby;Česko;18-24;2024;13.2
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2013;8.06965
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2014;8.74794
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2015;8.70797
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2016;8.2
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2017;6.9
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2018;6.7
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2019;6.72
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2020;6.65
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2021;6.7
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2022;6.6
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2023;6.4
Podíl osob pod hranicí příjmové chudoby;Česko;25-49;2024;7.8
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2013;8.34285
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2014;9.02201
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2015;8.68853
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2016;8.5
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2017;8.8
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2018;8.8
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2019;9.195
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2020;7.842
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2021;7.3
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2022;8.7
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2023;7.9
Podíl osob pod hranicí příjmové chudoby;Česko;50-64;2024;8.1
