Území,Ukazatel,Typ domácnosti,Roky,value
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2019,5.4
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2020,4.369
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2021,3.91
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2022,4.1
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2023,5.0
Česko,Podíl osob pod hranicí deprivace,Domácnosti bez závislých dětí,2024,4.4
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2019,5.2
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2020,5.515
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2021,5.65
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2022,5.5
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2023,7.4
Česko,Podíl osob pod hranicí deprivace,Domácnosti se závislými dětmi,2024,7.7
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2019,8.7
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2020,7.88
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2021,7.31
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2022,8.3
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2023,10.1
Česko,Podíl osob pod hranicí deprivace,Jednotlivci,2024,8.6
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2019,4.6
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2020,3.5
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2021,2.8
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2022,2.8
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2023,3.1
Česko,Podíl osob pod hranicí deprivace,2 dospělí,2024,2.9
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2019,3.5
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2020,2.263
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2021,2.46
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2022,0.8
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2023,2.3
Česko,Podíl osob pod hranicí deprivace,3 a více dospělých,2024,2.1
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2019,17.2
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2020,16.12
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2021,19.15
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2022,16.9
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2023,26.7
Česko,Podíl osob pod hranicí deprivace,"1 dospělý, alespoň 1 závislé dítě",2024,27.1
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2019,5.6
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2020,4.219
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2021,2.65
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2022,3.2
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2023,3.5
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 1 závislé dítě",2024,4.4
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2019,3.3
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2020,3.169
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2021,3.73
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2022,3.4
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2023,3.3
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 2 závislé děti",2024,3.1
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2019,5.6
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2020,8.729
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2021,11.94
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2022,9.9
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2023,14.8
Česko,Podíl osob pod hranicí deprivace,"2 dospělí, 3 a více závislých dětí",2024,16.5
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2019,2.7
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2020,5.631
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2021,3.06
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2022,4.9
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2023,7.1
Česko,Podíl osob pod hranicí deprivace,"3 a více dospělých, alespoň 1 závislé dítě",2024,5.6
Česko,Podíl osob pod hranicí deprivace,Muži,2019,6.1
Česko,Podíl osob pod hranicí deprivace,Muži,2020,5.56
Česko,Podíl osob pod hranicí deprivace,Muži,2021,5.56
Česko,Podíl osob pod hranicí deprivace,Muži,2022,5.8
Česko,Podíl osob pod hranicí deprivace,Muži,2023,7.3
Česko,Podíl osob pod hranicí deprivace,Muži,2024,6.9
Česko,Podíl osob pod hranicí deprivace,Ženy,2019,10.5
Česko,Podíl osob pod hranicí deprivace,Ženy,2020,9.484
Česko,Podíl osob pod hranicí deprivace,Ženy,2021,8.55
Česko,Podíl osob pod hranicí deprivace,Ženy,2022,10.0
Česko,Podíl osob pod hranicí deprivace,Ženy,2023,12.0
Česko,Podíl osob pod hranicí deprivace,Ženy,2024,9.7
