Ukazatel;Roky;ČR, kraje, SO ORP, obce;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Česko;Sociální poradny;543
Počet zařízení sociálních služeb;2023;Česko;Služby rané péče;49
Počet zařízení sociálních služeb;2023;Česko;Nízkoprahová denní centra;74
Počet zařízení sociálních služeb;2023;Česko;Nízkoprahová zařízení pro děti a mládež;245
Počet zařízení sociálních služeb;2023;Česko;Sociálně terapeutické dílny;147
Počet zařízení sociálních služeb;2023;Česko;Terapeutické komunity;15
Počet zařízení sociálních služeb;2023;Česko;Centra denních služeb;72
Počet zařízení sociálních služeb;2023;Česko;Zařízení pro krizovou pomoc;47
Počet zařízení sociálních služeb;2023;Česko;Centra sociálně rehabilitačních služeb;336
Počet zařízení sociálních služeb;2023;Česko;Intervenční centra;18
Počet zařízení sociálních služeb;2023;Česko;Služby následné péče;51
Počet zařízení sociálních služeb;2023;Česko;Stacionáře denní;277
Počet zařízení sociálních služeb;2023;Česko;Domovy pro osoby se zdravotním postižením;212
Počet zařízení sociálních služeb;2023;Česko;Domovy pro seniory;526
Počet zařízení sociálních služeb;2023;Česko;Azylové domy;211
Počet zařízení sociálních služeb;2023;Česko;Domy na půl cesty;24
Počet zařízení sociálních služeb;2023;Česko;Chráněné bydlení;225
Počet zařízení sociálních služeb;2023;Česko;Noclehárny;81
Počet zařízení sociálních služeb;2023;Česko;Domovy se zvláštním režimem;405
Počet zařízení sociálních služeb;2023;Česko;Stacionáře týdenní;48
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Sociální poradny;80
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Služby rané péče;6
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Nízkoprahová denní centra;9
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Nízkoprahová zařízení pro děti a mládež;20
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Sociálně terapeutické dílny;9
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Terapeutické komunity;0
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Centra denních služeb;7
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Zařízení pro krizovou pomoc;10
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Centra sociálně rehabilitačních služeb;53
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Služby následné péče;8
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Stacionáře denní;27
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Domovy pro osoby se zdravotním postižením;11
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Domovy pro seniory;33
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Azylové domy;27
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Domy na půl cesty;3
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Chráněné bydlení;14
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Noclehárny;6
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Domovy se zvláštním režimem;26
Počet zařízení sociálních služeb;2023;Hlavní město Praha;Stacionáře týdenní;5
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Sociální poradny;42
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Služby rané péče;6
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Nízkoprahová denní centra;2
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Nízkoprahová zařízení pro děti a mládež;18
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Sociálně terapeutické dílny;14
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Terapeutické komunity;3
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Centra denních služeb;2
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Zařízení pro krizovou pomoc;5
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Centra sociálně rehabilitačních služeb;18
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Služby následné péče;5
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Stacionáře denní;12
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Domovy pro osoby se zdravotním postižením;7
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Domovy pro seniory;34
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Azylové domy;13
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Domy na půl cesty;0
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Chráněné bydlení;11
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Noclehárny;5
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Domovy se zvláštním režimem;22
Počet zařízení sociálních služeb;2023;Jihočeský kraj;Stacionáře týdenní;7
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Sociální poradny;38
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Služby rané péče;5
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Nízkoprahová denní centra;5
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Nízkoprahová zařízení pro děti a mládež;17
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Sociálně terapeutické dílny;10
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Terapeutické komunity;2
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Centra denních služeb;8
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Zařízení pro krizovou pomoc;4
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Centra sociálně rehabilitačních služeb;24
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Intervenční centra;1
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Služby následné péče;8
Počet zařízení sociálních služeb;2023;Jihomoravský kraj;Stacionáře denní;26
