Ukazatel;Druh zařízení sociálních služeb;ČR, kraje, SO ORP, obce;Roky;value
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2007;59
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2008;213
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2009;241
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2010;266
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2011;251
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2012;261
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2013;263
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2014;276
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2015;257
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2016;266
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2017;275
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2018;284
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2019;295
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2020;294
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2021;304
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2022;330
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Česko;2023;336
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2007;5
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2008;51
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2009;53
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2010;58
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2011;49
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2012;50
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2013;49
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2014;52
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2015;45
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2016;44
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2017;45
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2018;45
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2019;47
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2020;41
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2021;47
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2022;54
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Hlavní město Praha;2023;53
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2007;1
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2008;12
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2009;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2010;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2011;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2012;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2013;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2014;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2015;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2016;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2017;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2018;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2019;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2020;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2021;16
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2022;17
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihočeský kraj;2023;18
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2007;7
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2008;14
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2009;15
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2010;20
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2011;19
Počet zařízení sociálních služeb;Centra sociálně rehabilitačních služeb;Jihomoravský kraj;2012;21
