Území;Institucionální sektor ;Odvětví ekonomické činnosti;Ukazatel;Doba přežití podniku;Rok vzniku podniku;value
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2015;83.64
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2016;84.21
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2017;85.98
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2018;85.85
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2019;85.05
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2020;87.0
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);1 rok;2021;85.65
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2015;65.9
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2016;68.63
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2017;71.47
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2018;71.25
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2019;70.93
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2020;74.11
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);2 roky;2021;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2015;56.19
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2016;59.4
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2017;62.13
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2018;62.27
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2019;63.04
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2020;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);3 roky;2021;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2015;49.63
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2016;52.93
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2017;55.32
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2018;56.28
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2019;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2020;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);4 roky;2021;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2015;44.43
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2016;47.81
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2017;50.47
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2018;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2019;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2020;
Česko;Nefinanční podniky, finanční instituce, zaměstnavatelé a OSVČ;Celkem;Míra přežití podniků - zaměstnavatelů (%);5 let;2021;
