Ukazatel;Rok sčítání;Území;Věkové skupiny (základní);Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Celkem;10524167
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Ženy;5337619
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Celkem;Muži;5186548
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 14 let;Celkem;1691760
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 14 let;Ženy;825438
Počet obyvatel (obvyklý pobyt);2021;Česká republika;0 - 14 let;Muži;866322
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 64 let;Celkem;6684359
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 64 let;Ženy;3267508
Počet obyvatel (obvyklý pobyt);2021;Česká republika;15 - 64 let;Muži;3416851
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 a více let;Celkem;2148048
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 a více let;Ženy;1244673
Počet obyvatel (obvyklý pobyt);2021;Česká republika;65 a více let;Muži;903375
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Celkem;Celkem;1301432
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Celkem;Ženy;667983
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;Celkem;Muži;633449
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;0 - 14 let;Celkem;199369
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;0 - 14 let;Ženy;97045
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;0 - 14 let;Muži;102324
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;15 - 64 let;Celkem;863086
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;15 - 64 let;Ženy;429780
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;15 - 64 let;Muži;433306
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;65 a více let;Celkem;238977
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;65 a více let;Ženy;141158
Počet obyvatel (obvyklý pobyt);2021;Hlavní město Praha;65 a více let;Muži;97819
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Celkem;Celkem;1415463
Počet obyvatel (obvyklý pobyt);2021;Středočeský kraj;Celkem;Ženy;712922
