Rok,"ČR, kraje",Ukazatel,value
2024,Česko,Rozvody,20796.0
2024,Česko,Rozvody manželství s nezletilými dětmi celkem,12030.0
2024,Česko,Rozvody manželství s 1 nezletilým dítětem,5739.0
2024,Česko,Rozvody manželství se 2 nezletilými dětmi,5462.0
2024,Česko,Rozvody manželství se 3+ nezletilými dětmi,829.0
2024,Česko,Podíl rozvodů s nezletilými dětmi (%),57.84766301
2024,Česko,1. rozvod muže,17030.0
2024,Česko,1. rozvod ženy,17053.0
2024,Česko,2. a další rozvod muže,3766.0
2024,Česko,2. a další rozvod ženy,3743.0
2024,Hlavní město Praha,Rozvody,2380.0
2024,Hlavní město Praha,Rozvody manželství s nezletilými dětmi celkem,1298.0
2024,Hlavní město Praha,Rozvody manželství s 1 nezletilým dítětem,632.0
2024,Hlavní město Praha,Rozvody manželství se 2 nezletilými dětmi,586.0
2024,Hlavní město Praha,Rozvody manželství se 3+ nezletilými dětmi,80.0
2024,Hlavní město Praha,Podíl rozvodů s nezletilými dětmi (%),54.53781513
2024,Hlavní město Praha,1. rozvod muže,2015.0
2024,Hlavní město Praha,1. rozvod ženy,2092.0
2024,Hlavní město Praha,2. a další rozvod muže,365.0
2024,Hlavní město Praha,2. a další rozvod ženy,288.0
2024,Středočeský kraj,Rozvody,2946.0
2024,Středočeský kraj,Rozvody manželství s nezletilými dětmi celkem,1795.0
2024,Středočeský kraj,Rozvody manželství s 1 nezletilým dítětem,823.0
2024,Středočeský kraj,Rozvody manželství se 2 nezletilými dětmi,857.0
2024,Středočeský kraj,Rozvody manželství se 3+ nezletilými dětmi,115.0
2024,Středočeský kraj,Podíl rozvodů s nezletilými dětmi (%),60.93007468
2024,Středočeský kraj,1. rozvod muže,2398.0
2024,Středočeský kraj,1. rozvod ženy,2406.0
2024,Středočeský kraj,2. a další rozvod muže,548.0
2024,Středočeský kraj,2. a další rozvod ženy,540.0
2024,Jihočeský kraj,Rozvody,1270.0
2024,Jihočeský kraj,Rozvody manželství s nezletilými dětmi celkem,727.0
2024,Jihočeský kraj,Rozvody manželství s 1 nezletilým dítětem,318.0
2024,Jihočeský kraj,Rozvody manželství se 2 nezletilými dětmi,353.0
2024,Jihočeský kraj,Rozvody manželství se 3+ nezletilými dětmi,56.0
2024,Jihočeský kraj,Podíl rozvodů s nezletilými dětmi (%),57.24409449
2024,Jihočeský kraj,1. rozvod muže,1059.0
2024,Jihočeský kraj,1. rozvod ženy,1053.0
2024,Jihočeský kraj,2. a další rozvod muže,211.0
2024,Jihočeský kraj,2. a další rozvod ženy,217.0
2024,Plzeňský kraj,Rozvody,1229.0
